ORF	H2O2 10m 	H2O2 20m 	H2O2 30m 	H2O2 40m	H2O2 50m 	H2O2 60m 	H2O2 80m 	H2O2 100m 	H2O2 120m 	H2O2 160m 
YBL062W	-0.6	-0.51	-0.32	-0.09	-0.27	-0.43	-0.23	0.01	-	-0.25
YBL063W	0.1	-0.11	0.15	-0.1	-0.2	-0.09	-0.39	-0.1	-0.03	-0.22
YBL064C	3.4	2.81	3.79	3.33	3.52	3.03	2.34	2.64	2.84	3.11
YBL065W	0.11	-0.17	0.15	-0.07	-0.23	-0.47	-0.34	0.1	-0.32	0.04
YBL066C	0.1	0.26	-0.31	0.01	-0.04	-0.02	-0.01	0.34	0.01	-0.08
YBL067C	-0.38	-0.36	0.03	-0.64	-0.4	-0.47	-0.22	0.28	-0.32	-
YBL068W	-0.69	-1.43	-1.18	-0.58	-0.89	-0.51	-0.23	-0.45	-0.42	-0.36
YBL069W	-0.36	-1.56	0.16	-	-0.79	0.2	-0.17	0.21	-0.34	0.33
YBL070C	-0.43	-	-0.14	-	-0.89	-0.29	-0.3	-0.2	-0.38	-0.03
YBL071C	-0.51	-0.93	-0.71	-	-0.6	-0.22	-0.36	0.15	-0.02	-0.34
YBL072C	-0.92	-1.94	-1.4	1.4	-1.12	-0.89	-0.47	-0.58	-0.14	-0.01
YBL073W	-0.47	0.08	-0.15	-	-0.29	-0.12	0.08	0.28	-0.1	0.16
YBL074C	-0.89	-0.92	-0.06	0.52	-0.3	-0.22	-0.45	0.01	-0.43	-0.17
YBL075C	0.03	-0.2	0.82	0.08	0.38	0.1	-0.36	-0.45	-0.32	0.07
YBL076C	-0.38	-1	-0.62	-0.71	-0.12	-0.47	-0.56	-0.47	-0.6	-0.32
YBL077W	-0.03	-1	-0.64	-0.6	-0.42	-0.25	-0.3	-0.22	-0.29	-0.2
YBL078C	1.03	0.01	1.1	1.36	1.58	0.89	0.28	0.29	0.18	0.45
YBL079W	0.06	0.1	-0.27	-0.03	-0.22	-0.12	-0.36	-0.09	-0.19	-0.29
YBL080C	-1.18	-0.81	-0.2	-	-0.01	-0.14	-0.04	-0.14	-0.18	-0.06
YBL081W	-0.69	-1.09	-0.49	-	-0.49	-0.49	-0.32	-0.4	-0.27	-0.2
YBL082C	-0.94	-0.86	-0.51	-0.43	-0.34	-0.4	-0.17	-0.25	-0.43	-0.29
YBL083C	-0.69	0.07	-0.89	1.34	-1	-0.18	-0.07	-0.25	-0.04	-0.18
YBL084C	-0.47	-0.58	-0.22	0.34	0.07	-0.47	-0.23	-	-0.67	-0.29
YBL085W	0.32	-2.25	-0.06	-0.58	-0.23	-0.06	-0.27	0.1	0.01	0.01
YBL086C	-0.43	-0.67	-0.17	-1.29	0.12	0.19	0.1	0.15	-0.14	0.23
YBL087C	0.43	-1.03	-0.67	-1.15	-0.67	-0.49	-0.45	-0.56	-0.03	-0.42
YBL088C	0.05	0.36	-0.15	-1.94	0.05	0.11	-0.32	-0.27	-0.25	-0.67
YBL089W	0.41	0.21	0.41	-1.69	0.26	0.24	-0.32	-0.25	-0.14	-0.38
YBL090W	0.1	0.06	0.49	-0.15	0.63	0.31	-0.04	-0.1	0.16	-0.03
YBL091C	-1.79	0.07	0.19	0.01	-	-	-0.09	0.04	-0.22	-0.4
YBL092W	-0.4	-1.6	-1.18	-1.4	-0.62	-0.29	-0.89	-0.79	-0.4	-0.6
YBL093C	0.77	-0.76	-0.74	-1.22	-0.01	0.2	-0.25	-0.4	-0.3	-0.67
YBL094C	-0.38	-0.62	-0.14	-0.64	-0.23	0.07	-0.45	-0.42	-0.29	-0.4
YBL095W	-0.22	-0.14	0.11	-0.27	-0.49	0.18	0.07	-0.36	-0.06	-0.32
YBL096C	0.04	-0.84	-0.06	-0.38	-0.3	-0.12	-0.25	-0.38	-0.2	-
YBL097W	0.4	0.04	-0.08	0.04	-0.09	0.14	-0.03	-0.1	-0.18	-0.42
YBL098W	-0.36	0.04	0.61	0.46	0.46	0.46	-	-1.18	-	-
YBL099W	0.37	0.31	0.79	0.28	0.67	0.68	0.11	0.44	0.28	0.03
YBL100C	0.98	0.61	-	0.66	0.8	0.82	0.15	0.42	0.37	0.18
YBL101C	0.71	0.91	0.82	-0.25	0.42	0.76	-0.07	0.43	0.11	-0.15
YBL101W-A	0.24	0.42	0.69	0.25	0.59	0.55	0.28	0.4	0.16	0.12
YBL101W-B	0.42	0.14	0.48	0.26	0.37	0.52	0.2	0.11	0.19	0.07
YBL102W	0.18	0.38	0.71	0.19	1.24	0.59	-0.15	-	-	-0.23
YBL103C	0.44	0.12	0.49	-0.58	0.29	0.06	-0.54	-0.29	-0.4	-0.51
YBL104C	-0.15	-	0.52	-0.58	0.4	-0.09	-0.79	-0.45	-0.49	-0.81
YBL105C	0.25	-0.42	0.77	-1.06	0.15	-0.03	-0.51	-0.23	-0.45	-0.58
YBL106C	-0.03	-0.25	0.08	-	0.39	0.06	-0.51	-0.3	-0.4	-0.81
YBL107C	0.54	0.11	0.48	-0.79	0.96	0.68	-0.03	0.07	0.26	0.01
YBL108W	-	-0.01	-	-1.15	-	2.81	-	-	-	-
YBL109W	-0.14	0.21	0.19	-0.22	0.07	0.08	0.2	-0.23	0.54	0.37
YBL111C	0.16	0.53	0.11	0.33	-0.22	-0.09	0.45	-0.06	0.7	0.52
YBL112C	-0.29	-0.25	-0.03	-0.34	-0.27	-0.32	0.39	0.07	0.53	0.42
YBL113C	0.15	0.39	0.15	0.08	-0.32	-0.4	0.48	0.12	0.66	0.51
YBR001C	0.18	0.75	1.14	4.78	0.91	0.69	0.67	0.32	0.58	0.6
YBR002C	-0.49	0.45	-0.81	-0.94	0.31	-0.09	0.07	-0.43	0.16	0.12
YBR003W	-	1.24	-1.22	1.22	-	-	0.51	-	-	-
YBR004C	-0.18	-0.04	0.01	0.62	-0.18	0.12	0.24	-0.49	0.31	0.29
YBR005W	0.28	-0.2	-	0.25	-0.18	-0.49	-	-0.45	-0.12	0.31
YBR006W	0.34	1.97	1.81	1.17	0.68	1.69	1.3	0.34	0.99	1.29
