ORF	H2O2 10m 	H2O2 20m 	H2O2 30m 	H2O2 40m	H2O2 50m 	H2O2 60m 	H2O2 80m 	H2O2 100m 	H2O2 120m 	H2O2 160m 
YIL151C	0.58	-0.03	-0.2	-1.6	0.01	0.1	-0.16	0.01	-	0.25
YIL152W	0.43	-0.59	0.63	-0.01	-0.15	-0.15	-	0.24	0.06	0.22
YIL153W	0.19	0.14	-0.22	-0.03	-0.8	-	0.08	0.33	0.12	0.12
YIL154C	0.29	-0.14	0.61	-0.32	-0.02	-0.72	-0.04	0.05	-0.04	-0.29
YIL155C	0.56	0.69	0.67	0.64	0.53	0.34	0.31	0.29	0.67	-0.22
YIL156W	0.31	0.38	0.81	1.23	-0.09	0.03	0.42	0.55	0.24	0.3
YIL157C	0.42	0.59	0.26	-0.51	-0.02	0.33	0.3	-0.07	0.08	0.51
YIL158W	-0.74	-1.64	-1.24	-0.97	-0.77	-0.41	0.06	0.19	0.01	0.32
YIL159W	-0.08	0.81	0.06	-0.86	-1.84	0.31	0.16	0.29	0.18	0.29
YIL160C	-0.85	-0.54	-0.74	-0.27	-0.8	-0.61	0.13	0.1	-0.09	0.16
YIL161W	-0.18	-0.01	-0.1	-0.03	0.45	0.21	-0.04	0.2	0.04	0.25
YIL162W	-0.51	-0.07	-0.01	-0.01	-0.01	0.01	0.23	0.28	0.12	0.25
YIL163C	-0.02	0.01	-0.42	-0.54	-0.04	-0.09	-0.09	0.41	-0.19	-0.01
YIL164C	0.45	-0.16	0.22	0.49	-0.15	-0.09	0.23	0.52	0.18	0.26
YIL165C	1.17	-0.2	0.35	-0.15	-0.12	-0.74	0.01	0.39	-0.01	0.08
YIL166C	0.2	0.23	0.52	0.99	0.03	0.1	0.16	0.36	0.3	0.27
YIL167W	2.77	1.44	1.22	0.3	0.38	0.36	0.51	0.77	0.41	0.55
YIL168W	0.95	-	-0.29	0.36	0.14	0.64	0.54	0.71	0.48	0.61
YIL169C	0.09	0.61	0.06	-0.97	-0.3	-0.3	-0.27	0.01	-0.01	0.03
YIL170W	-0.01	0.56	0.01	0.89	-0.03	0.28	0.15	0.65	0.37	0.42
YIL171W	-0.01	-0.61	0.33	0.12	-0.29	-0.05	0.21	-0.04	0.05	0.3
YIL172C	0.27	0.13	-0.4	0.23	0.17	0.07	0.07	0.38	0.12	0.36
YIL173W	0.04	-0.45	-0.69	-0.01	-0.39	-0.11	-0.18	0.05	-0.03	-0.06
YIL174W	-0.11	0.21	0.27	-0.3	-0.24	-0.14	0.26	0.15	0.06	0.17
YIL175W	-0.28	-0.8	0.05	-0.01	-0.09	0.15	0.06	0.16	0.34	0.01
YIL176C	-0.04	0.27	-0.01	-0.07	-0.04	0.22	0.29	0.28	0.18	0.21
YIL177C	-0.22	-0.62	-0.12	-0.3	-0.03	-0.36	0.05	0.38	0.58	0.06
YIR001C	-0.41	-0.28	-0.25	-0.42	-0.22	-0.13	0.03	-0.07	0.09	0.08
YIR002C	-0.52	-0.53	-0.24	-0.71	0.3	-0.09	0.07	0.18	-0.04	-0.53
YIR003W	-0.41	-0.36	-0.29	-0.17	-0.19	-0.08	0.12	0.1	-0.2	0.05
YIR004W	-0.82	-0.4	-0.18	-0.36	0.05	-0.29	-0.25	0.01	-0.54	-0.19
YIR005W	0.99	-0.04	0.67	0.7	0.11	0.11	0.34	0.12	0.16	0.17
YIR006C	-0.23	-0.38	-0.25	0.22	-0.06	-0.33	-0.14	0.12	-0.21	0.02
YIR007W	0.32	-0.3	0.01	0.18	0.01	0.17	0.08	0.13	-	0.1
YIR008C	-0.42	-0.23	-0.05	-0.49	0.04	-0.38	-0.27	-0.05	-0.14	-0.3
YIR009W	0.28	-0.18	-0.37	-0.69	0.2	-0.18	0.08	0.16	0.06	-
YIR010W	-0.76	-0.33	-1.05	-0.84	-0.64	-0.64	-0.22	-0.4	-0.48	-0.42
YIR011C	-0.14	-0.09	-0.09	0.29	-0.3	-0.3	-0.1	0.21	0.09	0.09
YIR012W	-1.3	-1.25	-1.32	-1.25	-0.9	-0.42	-0.34	-0.42	-0.27	-0.44
YIR013C	-0.31	-0.24	-0.34	-0.54	-0.4	-0.18	-0.04	0.08	0.04	-0.11
YIR014W	-0.34	-0.06	-0.39	-0.12	-0.24	-0.2	-0.3	-0.12	-0.29	-0.16
YIR015W	-0.43	-0.26	-0.26	0.28	-0.45	-0.45	-0.29	0.18	-0.16	-0.19
YIR016W	0.16	0.33	-0.05	0.18	-0.53	-0.49	-0.35	-0.09	-0.12	0.02
YIR017C	0.39	0.68	-0.51	-0.2	-0.43	-0.26	-0.06	0.52	-0.11	0.05
YIR018W	-0.58	0.42	-0.47	-0.36	-0.47	-0.3	-0.31	-0.24	-0.22	-0.15
YIR019C	0.1	-0.59	-0.31	0.22	-0.48	-0.11	-0.23	-0.02	-0.08	0.08
YIR020C	-0.52	-	-0.46	-0.23	-0.28	-0.12	-0.22	-0.39	-0.19	-0.17
YIR021W	-0.73	-0.62	-0.69	-0.45	-0.3	-0.3	-0.07	-0.4	-0.05	0.11
YIR022W	-0.48	-0.27	-0.83	-0.27	0.3	-0.21	-0.07	-0.49	-0.18	-0.16
YIR023W	-0.38	-0.58	-0.53	-0.69	-0.37	-0.13	-0.31	-0.22	-0.25	-0.12
YIR024C	0.4	0.7	0.47	0.8	0.46	-	-0.13	-0.36	-0.19	-0.07
YIR025W	-0.93	-1	-0.81	-0.94	-0.73	-0.37	-0.3	-0.24	-0.29	-0.24
YIR026C	-0.55	0.14	-0.65	-1.43	-0.11	-0.37	-0.04	-0.4	-0.3	-0.26
YIR027C	-1.02	-1.01	-0.55	0.42	-0.58	0.11	0.1	0.27	0.33	0.33
YIR028W	-0.28	0.05	-0.25	-0.89	0.12	-0.1	0.09	-0.24	-0.18	-0.02
YIR029W	-0.72	-0.08	-1.07	-0.3	-0.67	-0.02	-0.11	-0.16	-0.06	-0.11
YIR030C	0.15	-0.09	0.12	-0.06	0.4	0.07	0.19	0.01	0.02	0.19
YIR031C	-0.27	0.32	-1.34	-0.34	-0.19	-0.01	-0.15	-0.06	0.07	-0.05
YIR032C	-0.43	-0.65	0.13	-0.11	-0.12	-	0.16	0.13	0.13	0.04
YIR033W	-0.51	0.43	0.25	-0.54	0.7	0.49	0.39	0.11	0.22	-0.32
YIR034C	0.75	0.48	0.82	1.3	0.98	1.35	0.4	0.58	0.51	-0.14
YIR035C	0.2	0.31	0.32	-0.62	0.38	0.32	-0.06	0.03	0.25	0.04
YIR036C	0.32	0.15	0.01	0.29	0.19	0.53	-0.12	0.08	0.05	-0.43
YIR037W	1.16	0.96	1.08	0.98	1.69	1.49	0.61	0.27	0.64	0.18
YIR038C	0.93	1.7	2.03	2.33	2.74	2.3	1.26	0.82	0.78	0.21
YIR039C	0.36	0.81	0.9	0.83	1.7	1.51	0.62	0.48	0.69	0.22
YIR040C	0.66	0.78	0.74	0.06	1.05	1.03	0.21	0.24	0.22	-0.19
YIR041W	0.2	0.54	0.52	-0.23	0.76	0.78	0.27	0.04	0.4	-0.08
YIR042C	0.4	-0.58	0.11	-0.81	0.89	0.12	-0.05	0.03	0.07	-0.36
YIR043C	0.38	1.01	0.93	1.26	0.68	0.58	0.38	0.29	0.58	0.17
YIR044C	0.94	0.79	1.02	1.1	0.76	0.56	-0.13	1.54	0.46	-0.8
YJL001W	0.68	0.97	1.04	0.16	1.19	0.7	-0.15	-0.21	-0.04	-0.35
YJL002C	0.19	0.16	0.4	-0.04	0.42	0.17	-0.47	-0.44	-0.12	-0.51
YJL003W	0.65	1.22	0.9	0.81	0.44	0.3	-0.09	-0.2	0.06	-0.33
YJL004C	0.45	0.71	0.62	1.21	0.43	0.31	-0.25	-0.19	0.15	-0.55
YJL005W	0.17	0.53	0.31	0.63	0.32	0.14	-0.11	0.1	0.02	-0.35
YJL006C	-0.38	-0.15	-0.09	-0.32	0.19	0.15	-0.39	-0.37	-0.14	-0.63
YJL007C	0.28	0.59	-0.24	-0.43	-0.17	0.32	-0.3	0.1	0.28	-0.38
YJL008C	0.33	0.4	0.44	0.32	0.5	0.26	-0.52	-0.19	-0.25	-0.73
YJL009W	0.21	-0.06	0.34	-0.34	-0.16	0.01	-0.34	-0.26	-0.13	-0.58
YJL010C	-0.27	-0.32	-0.34	-2.25	-0.25	-0.2	-0.49	-0.23	-0.24	-0.56
YJL011C	-0.79	-0.96	-0.6	-0.84	-0.24	-0.18	-0.3	-0.36	-0.14	-0.54
YJL012C	0.06	-0.37	0.1	-0.1	0.75	0.5	-0.4	-0.09	-0.06	-0.76
YJL013C	-0.34	-0.35	-0.51	-0.56	-0.37	-0.05	0.14	-0.16	0.05	0.23
YJL014W	-0.2	-0.28	-0.15	0.12	0.24	-0.04	-0.13	-0.18	-0.27	0.04
YJL015C	0.1	0.67	1.24	2.07	0.72	0.69	0.89	0.42	0.7	0.76
YJL016W	0.01	0.85	1.15	2.16	0.59	0.47	0.33	0.35	0.19	0.32
YJL017W	0.04	0.66	1.6	1.53	1.1	0.87	0.81	0.59	0.65	0.75
YJL018W	-0.45	-0.69	-0.43	-0.81	0.08	0.07	0.08	0.07	0.04	0.19
YJL019W	0.05	0.28	0.16	-0.54	0.23	0.08	0.22	0.3	0.3	0.37
YJL020C	0.15	0.45	0.59	0.24	0.31	0.04	0.41	0.22	0.18	0.3
YJL021C	0.51	0.81	1.02	1.21	0.6	0.4	0.66	0.52	0.51	0.68
YJL022W	0.17	0.55	0.25	0.63	0.17	0.06	0.27	0.07	0.23	0.26
YJL023C	0.26	0.6	0.15	0.56	0.18	0.21	0.36	0.33	0.3	0.34
YJL024C	-0.04	0.2	0.22	0.21	0.09	0.13	0.24	-0.06	0.08	0.06
YJL025W	-1.35	-1.19	-1.22	-0.97	-0.44	-0.44	-0.01	0.04	-0.02	0.01
YJL026W	-0.14	1.29	1.2	1.05	2.14	1.96	1.75	1.12	1.31	1.26
YJL027C	-0.48	-0.21	-0.72	-0.76	-0.37	-0.31	-0.03	0.02	0.14	0.21
YJL028W	0.32	0.43	0.31	-0.43	1.52	1.73	1.19	0.59	1.09	0.45
YJL029C	-0.19	-0.37	-0.45	-0.79	-0.17	-0.19	0.09	0.16	0.01	0.11
YJL030W	-0.06	0.16	-0.18	-0.17	0.83	0.6	0.36	-0.25	0.18	0.32
YJL031C	1.23	1.49	1.44	0.45	0.44	0.42	0.24	0.26	0.21	0.43
YJL032W	0.9	1.48	1.43	2.4	-0.68	0.56	0.39	-0.07	0.23	0.33
YJL033W	-0.01	-	-0.06	-1.79	-0.39	-0.18	0.07	-0.03	0.08	0.12
YJL034W	0.1	0.74	0.58	0.1	-0.07	-0.45	-0.6	-0.86	-0.38	-0.25
YJL035C	0.41	0.34	0.28	-0.47	-0.13	-0.14	0.24	0.01	0.12	0.18
YJL036W	1.57	1.77	0.93	1.09	0.7	0.3	-0.03	0.01	-0.12	-0.45
YJL037W	-0.39	0.87	0.17	0.75	0.01	0.07	0.3	0.53	0.57	0.35
YJL038C	-0.24	-0.39	0.26	0.96	-0.24	-0.12	0.15	0.48	0.2	0.39
YJL039C	0.23	-0.17	-0.14	-0.7	-0.15	-0.17	-0.11	0.07	-0.04	0.05
YJL041W	-0.26	-0.46	-0.21	-0.27	-0.29	-0.25	0.01	0.22	-0.06	0.18
YJL042W	-0.06	0.07	0.56	0.93	0.25	0.04	0.2	0.45	0.19	0.15
YJL043W	-0.22	-0.45	-0.42	-0.34	-0.57	-0.49	-0.38	0.19	-0.1	-0.14
YJL044C	-0.15	-0.55	-0.29	-0.07	-0.26	-0.2	-0.11	0.01	-0.06	0.02
YJL045W	-0.43	-0.07	-0.34	0.25	-0.15	-0.04	0.37	0.77	0.47	0.46
YJL046W	0.75	0.4	1.01	1.47	0.21	0.1	0.16	0.24	0.26	0.41
YJL047C	0.14	-0.06	-0.14	0.7	-0.24	-0.16	-0.09	0.04	-	0.12
YJL048C	0.69	0.05	0.32	0.7	0.34	0.92	1.13	1.17	1.23	1.38
YJL049W	0.34	0.25	-0.02	1.25	-0.14	0.1	-0.16	0.29	-0.04	-0.09
YJL050W	-0.18	-0.5	-0.78	-0.76	-0.42	-0.27	-0.13	0.14	-0.11	-0.15
YJL051W	-0.55	-0.78	-0.71	-1.36	-0.54	-0.83	-0.36	-0.06	-	-0.21
YJL052W	0.09	0.11	0.33	-0.04	-0.08	0.25	0.24	0.03	0.1	0.34
YJL053W	0.15	-0.11	0.47	0.55	0.39	0.23	0.01	0.07	-0.76	-0.11
YJL054W	-0.07	-0.37	-0.4	-0.12	-0.31	0.15	0.08	-0.07	-0.12	0.25
YJL055W	-0.19	-0.8	-0.12	0.1	0.07	0.11	-0.08	0.06	0.07	-0.07
YJL056C	0.06	-0.2	-1.36	-0.27	-0.22	0.03	0.06	0.14	-0.01	0.14
YJL057C	0.86	1.06	0.81	0.87	0.81	0.46	0.23	0.16	-0.17	0.03
YJL058C	-0.13	-0.46	-0.21	-0.47	-0.28	-0.03	0.07	0.05	0.02	0.12
YJL059W	-0.13	-0.08	0.1	-0.43	0.51	0.01	0.06	0.18	-0.23	-0.12
YJL060W	0.21	0.17	-0.01	-0.18	0.24	0.28	0.11	0.33	0.02	-0.05
YJL061W	-0.06	-0.13	-0.06	0.66	-	-0.15	-0.39	-0.15	0.05	-0.2
YJL062W	-0.61	-0.4	-0.45	-0.44	-0.41	-0.19	-0.28	-0.08	-0.14	-0.08
YJL063C	-0.71	-0.1	-0.15	-0.42	-0.53	-0.34	-0.27	-0.12	0.02	0.15
YJL064W	-0.28	-0.21	-0.39	-0.89	-0.36	0.03	-0.25	0.01	-0.14	-0.12
YJL065C	-1.01	-0.37	-0.38	-0.62	-0.57	0.02	-0.33	-0.45	-0.34	-0.29
YJL066C	0.25	0.36	0.43	-0.12	0.07	0.31	0.24	0.34	0.2	0.36
YJL067W	-0.38	-0.02	-0.25	0.6	-0.14	0.04	0.11	-0.07	-0.04	0.08
YJL068C	-0.07	-0.05	0.39	0.7	0.26	0.69	0.42	0.16	0.16	0.22
YJL069C	-2.12	-1.48	-2.08	-1.18	-0.84	-0.52	-0.32	-0.43	-0.45	-0.45
YJL070C	0.23	-0.06	0.51	-	0.38	0.28	0.19	0.42	0.25	0.06
YJL071W	-0.02	-0.05	-0.18	0.06	0.09	-0.12	0.01	-0.23	-0.07	0.03
YJL072C	-0.02	0.19	0.04	-0.43	-0.07	-0.08	0.16	-0.04	-0.01	-
YJL073W	-0.46	-0.4	-0.52	0.25	-0.02	-0.11	-0.06	-0.05	-0.02	-0.07
YJL074C	-0.33	-0.19	-0.44	-0.89	-0.05	-0.11	-0.12	-	-0.02	0.15
YJL075C	-0.64	-0.79	-0.67	-0.12	-0.15	-0.49	-0.17	-0.13	-0.24	-0.32
YJL076W	-0.41	-0.27	-0.75	-0.86	-0.55	-0.44	-0.21	-0.18	-0.2	-0.17
YJL077C	0.08	0.39	0.33	1.13	0.33	-0.23	-0.04	-0.13	-0.08	-0.06
YJL078C	-0.35	0.04	-0.48	-0.71	-0.6	-0.53	-0.8	-0.44	-0.36	-0.5
YJL079C	-0.68	0.09	-0.08	-0.09	0.16	-0.31	0.3	0.35	0.36	0.27
YJL080C	-0.4	-0.2	-0.53	-0.84	-0.42	-0.25	-0.1	-0.14	-0.06	-0.05
YJL081C	-0.6	-0.18	-0.68	-0.32	0.06	-0.35	-0.07	-0.38	-0.27	-0.22
YJL082W	0.31	0.06	-0.12	-0.38	0.17	-0.16	-0.03	0.03	0.3	0.01
YJL083W	-0.75	-0.2	-0.61	-0.3	-0.16	-0.47	-0.14	-0.32	-0.3	-0.44
YJL084C	0.11	0.24	-0.02	-0.27	-0.4	-0.14	-	-0.02	0.15	0.06
YJL085W	0.03	0.13	0.02	0.53	0.37	-0.2	0.02	0.11	-0.02	-0.17
YJL086C	0.77	-	-	0.46	-	-	-	-	-	-
YJL087C	-	0.14	0.01	0.03	0.08	-0.12	-	-0.76	-	-
YJL088W	0.56	1.89	1.83	2.01	1.58	1.35	0.37	0.37	0.46	-0.34
YJL089W	-	1.74	1.73	1.46	1.31	2.04	-	-	-	-
YJL090C	1.62	0.15	0.34	-0.54	-0.17	-0.01	-	-0.03	-0.06	-
YJL091C	0.51	0.14	0.1	-0.57	-0.23	0.01	-0.43	-0.4	-0.34	-0.54
YJL092W	0.67	0.08	0.16	0.82	-0.18	-0.04	-0.3	-0.34	0.07	-0.38
YJL093C	-	0.24	-0.04	0.06	0.57	0.44	-	-	-	-
YJL094C	1.04	0.46	0.45	0.51	0.24	0.12	-0.49	-0.08	-0.07	-0.54
YJL095W	-	0.46	0.39	-1.18	0.45	0.51	-	-	-	-
YJL096W	0.65	0.87	0.75	0.5	0.23	0.32	-	-0.06	0.24	-0.38
YJL097W	-	-	-	1.55	-	1	-	-	-	-
YJL098W	-	-	-	0.15	-	-2.25	-	-	-	-
YJL099W	0.42	0.87	0.98	-0.4	0.71	0.38	-0.16	-0.02	-0.11	-0.43
YJL100W	1.05	0.5	0.78	-0.38	0.08	0.01	0.1	0.45	0.07	-0.14
YJL101C	-	2.68	2.06	-0.57	1.35	1.2	0.37	-	-	-3.84
YJL102W	0.89	0.41	1.79	0.93	0.82	0.4	-0.07	-0.15	-0.25	-0.07
YJL103C	-	1.5	1.45	-0.2	0.89	0.99	-	-	-	-
YJL104W	0.12	-0.43	-0.07	-0.38	0.65	0.52	0.14	0.14	0.23	0.08
YJL105W	-0.23	-0.54	-0.27	-0.43	0.19	0.24	-0.06	-0.2	-0.51	-0.86
YJL106W	1.53	0.85	0.45	0.23	0.4	0.49	-0.04	0.07	0.07	-0.42
YJL107C	-	-0.01	-0.2	-	0.59	0.42	-	-	-2.74	-
YJL108C	0.61	-0.51	-0.84	-0.27	0.37	0.36	-0.03	0.01	-0.22	-0.45
YJL109C	-1	-2.1	-1.41	-0.25	-0.25	-0.33	-0.12	0.01	-0.18	-0.2
YJL110C	0.15	-0.56	-0.23	0.19	-0.07	-0.07	0.18	-0.58	0.25	0.06
YJL111W	0.03	0.16	-0.38	-0.23	-0.17	-0.29	-0.25	-0.62	-0.2	-0.04
YJL112W	0.21	-0.49	-0.1	-0.04	0.11	0.11	0.58	-0.45	0.42	0.39
YJL113W	-0.03	0.48	0.19	-0.07	0.01	0.03	-0.11	-0.03	-0.05	0.07
YJL114W	0.19	-0.3	0.19	0.9	0.04	-0.07	0.45	-0.67	0.21	0.18
YJL115W	-0.23	0.23	-0.09	-0.36	0.16	-0.25	0.07	-0.01	0.32	0.36
YJL116C	0.08	-0.17	0.6	1.01	0.04	0.98	1.01	0.07	1.58	1.08
YJL117W	-	-0.17	-0.32	-0.03	-0.25	-0.1	-	-	-	-
YJL118W	-0.47	-0.67	-0.01	-0.55	-0.27	-0.16	0.03	-0.26	0.03	0.12
YJL119C	0.18	0.55	-0.47	-0.43	-0.27	-0.18	0.14	-0.2	0.1	0.36
YJL120W	0.19	-0.21	-0.06	-0.04	-0.13	-0.14	-0.18	-0.09	0.08	-0.16
YJL121C	-0.51	-0.71	-0.86	-0.74	-0.81	-0.04	0.06	-0.18	0.16	0.19
YJL122W	-1.25	-3.18	-2.32	-1.6	-0.67	-0.38	0.11	-0.36	0.23	0.06
YJL123C	-0.27	-0.27	0.28	-0.62	-0.01	0.06	0.06	-0.4	-0.15	0.06
YJL124C	-0.49	-0.89	-0.79	-0.56	-0.01	-0.06	0.1	-0.3	-0.01	0.21
YJL125C	-0.74	-0.94	-0.76	-1.69	-0.47	-0.15	-0.09	-0.49	-0.14	-0.01
YJL126W	0.37	-0.64	-0.32	-0.01	-0.4	0.41	0.25	-0.2	0.26	0.38
YJL127C	-0.36	-0.27	0.02	-0.88	-0.21	-0.19	-0.09	-0.12	-0.28	0.09
YJL128C	-0.15	-0.42	0.14	-0.23	0.06	-0.03	-0.1	-0.36	-0.17	-0.1
YJL129C	-0.38	-1.69	-0.56	-1.38	-0.23	-0.27	0.01	-0.42	-0.22	0.06
YJL130C	-0.35	-0.4	-0.55	-0.18	-0.36	0.21	0.89	-0.06	-0.22	0.08
YJL131C	0.43	-	0.82	0.03	0.51	0.45	0.21	-0.15	0.18	0.33
YJL132W	0.01	0.7	0.41	0.42	0.78	0.37	0.55	0.23	0.66	0.57
YJL133W	-	-0.34	-0.43	-1.06	-0.3	-0.01	0.1	-0.42	-0.14	0.1
YJL134W	-0.6	-0.25	-0.47	0.25	-0.84	-0.56	-0.01	0.18	0.24	0.26
YJL135W	-0.56	-1.09	-0.81	-0.18	-0.54	-0.32	-0.29	-0.03	-0.15	0.06
YJL136C	-0.84	-1.22	-1.97	-1.5	-1.19	-0.99	-0.4	-0.32	-0.07	0.05
YJL137C	-0.84	-0.86	-1.09	-1.29	-0.14	-0.04	-	0.1	0.04	0.11
YJL138C	-0.03	-1.15	-1.25	-0.76	-0.97	-0.69	-0.06	0.04	0.23	0.1
YJL139C	-0.54	-0.38	-0.4	0.19	-0.04	-0.07	-0.18	0.01	-0.09	0.12
YJL140W	0.03	0.3	-0.4	-0.22	-0.27	-0.36	0.11	0.18	0.18	0.16
YJL141C	-0.3	0.01	0.3	1.33	0.03	0.26	0.1	0.33	-0.15	0.12
YJL142C	0.08	-0.01	0.06	0.07	0.2	0.08	0.1	0.3	0.3	0.23
YJL143W	-	0.16	-0.25	-0.64	-0.38	0.42	0.11	0.34	0.2	0.29
YJL144W	0.44	0.3	0.77	0.07	-0.25	-0.07	0.06	0.21	0.16	0.44
YJL145W	0.81	0.39	0.34	0.6	-0.42	-0.12	-0.04	0.01	-0.22	0.12
YJL146W	-	0.43	0.4	0.65	-0.18	-0.17	-	-	-	-
YJL147C	-0.49	-0.25	0.08	0.68	-0.47	-0.4	-0.36	0.03	-0.43	-0.09
YJL148W	-1.15	-2.25	-2.4	-1.18	-1.22	-0.69	-0.3	-0.2	-0.01	-0.15
YJL149W	-	-0.04	0.36	-1.09	-0.04	-0.07	-	-	-0.43	-
YJL150W	-	-	-	-0.45	-	0.74	-	-	-	-
YJL151C	0.07	0.04	0.41	0.9	-0.09	-0.27	0.32	0.57	-0.32	0.26
YJL152W	-0.34	-0.64	0.04	-0.49	-0.47	-0.74	0.29	0.25	0.28	0.34
YJL153C	-1	1	-0.81	-1.47	-0.84	-0.2	0.23	0.5	-0.43	0.14
YJL154C	0.1	-0.49	0.01	0.21	0.01	-0.43	-0.42	-0.07	-0.38	-
YJL155C	-	1.41	1.44	-0.6	1.21	0.58	-	-	-0.36	-
YJL156C	3.09	-0.36	-0.47	-1.36	-0.15	-0.15	-	-	-	3.17
YJL157C	-	-1.51	-1.25	-1.06	-1.06	-1.15	-	-	-0.18	-
YJL158C	-0.3	-	-0.32	-0.04	-0.81	-0.27	-0.12	0.03	0.18	0.27
YJL159W	-0.62	-0.34	0.14	-0.15	-0.71	-0.51	-0.45	-0.3	0.2	0.03
YJL160C	-	-	-	-0.74	-	-	-	-	-	-
YJL161W	0.14	1.07	2.92	2.49	1.87	1.32	0.34	0.41	0.14	0.58
YJL162C	3.25	-0.71	-0.56	-0.56	-0.4	-0.54	-	-	-	-
YJL163C	0.06	-0.1	0.12	-0.66	0.9	0.54	0.32	0.1	0.11	0.18
YJL164C	0.52	0.46	0.74	-0.29	1.45	0.8	-	1.49	-	-
YJL165C	0.14	-0.06	0.19	-1.09	-0.47	-0.29	-0.14	-0.27	-0.38	-0.2
YJL166W	-0.25	-0.45	-0.06	0.49	0.18	-0.04	0.37	0.55	0.54	0.49
YJL167W	-0.51	-0.62	-0.22	0.41	0.03	0.14	0.08	-0.27	-0.1	-
YJL168C	-3.84	-0.36	-1.32	0.96	-	-	-	-	-	-
YJL169W	-	-0.92	-0.81	-0.15	-0.62	-0.69	-	0.19	-	-
YJL170C	-0.4	-0.74	-0.69	-0.77	0.08	-0.34	-0.18	-0.09	0.2	0.16
YJL171C	0.45	0.58	0.1	-1.1	0.5	0.24	0.24	-0.15	0.01	0.24
YJL172W	-0.27	0.6	0.23	0.83	0.15	0.44	0.14	0.08	0.32	0.12
YJL173C	0.29	0.34	0.49	1.71	0.33	0.21	-	-0.25	0.12	-0.06
YJL174W	-0.43	-0.45	-0.45	-0.17	-0.09	-0.1	-0.03	0.06	0.23	0.03
YJL175W	-1.47	-0.14	-1.32	0.2	-0.22	-0.49	0.04	-0.17	-0.2	-0.12
YJL176C	-0.15	0.15	-0.56	-0.39	-0.34	-0.43	-0.03	-0.2	-0.06	-0.07
YJL177W	-0.92	-1.09	-1.79	-1.32	-0.54	-0.74	-0.29	-0.58	-0.23	-0.1
YJL178C	-0.22	-	-0.56	-0.76	-0.89	-0.34	-0.2	-0.43	0.01	-0.1
YJL179W	-0.04	-	-0.67	0.99	-0.17	-0.34	-0.03	-0.38	-0.03	-0.09
YJL180C	0.04	0.55	1.4	0.85	0.45	0.32	0.14	-0.01	0.28	0.26
YJL181W	-	0.54	0.04	-0.71	0.26	-0.15	0.25	0.06	-0.22	0.04
YJL182C	-0.1	0.45	0.14	0.14	0.08	-0.04	-0.14	-0.12	-0.06	-0.51
YJL183W	-0.12	-0.69	-0.49	-0.4	-0.12	0.01	-0.58	-0.25	-0.4	-0.47
YJL184W	0.1	0.04	-0.04	-0.19	-0.29	-0.01	0.01	-0.22	-0.15	-0.62
YJL185C	0.25	0.25	0.04	0.6	0.88	0.67	-0.04	-0.01	-0.2	-0.29
YJL186W	0.42	-0.22	-0.25	-0.17	-0.17	0.01	-0.36	-0.47	-0.32	-0.56
YJL187C	0.03	0.08	0.32	0.33	0.12	0.2	-0.58	-0.3	-0.4	-0.71
YJL188C	1.85	-0.12	-0.45	0.39	-0.64	-0.36	-0.45	-0.43	-	-0.34
YJL189W	0.33	-0.49	-0.4	0.38	-0.6	-0.49	-0.56	-0.51	-0.3	-0.34
YJL190C	-0.18	-0.25	-0.86	0.07	-1.03	-0.4	-0.49	-0.42	0.11	-0.45
YJL191W	-0.2	-1.09	-0.84	-0.61	-0.86	-0.36	-0.6	-0.4	-0.27	-0.43
YJL192C	0.9	0.03	-0.2	0.15	-0.03	0.06	-0.32	-0.25	-0.12	-0.45
YJL193W	0.36	-0.29	-0.1	0.86	-0.25	-0.17	-0.81	-0.29	-0.25	-0.43
YJL194W	-0.49	-0.79	-0.32	0.64	-0.09	-0.1	-0.4	0.12	-0.14	-0.71
YJL195C	0.06	-0.23	-0.18	-0.36	-0.47	-0.47	-0.47	0.03	-0.12	-0.51
YJL196C	0.58	0.46	0.54	0.41	1.14	1.28	0.96	0.79	0.63	0.57
YJL197W	-0.1	0.51	0.2	-0.19	0.33	0.11	-0.51	-0.36	-0.42	-0.58
YJL198W	-0.89	-2.25	-1.15	-0.51	-0.54	-0.3	-0.81	-0.64	-0.64	-0.92
YJL199C	0.8	0.5	0.26	0.13	0.7	0.71	0.04	0.2	-	-0.25
YJL200C	0.03	-0.97	-0.2	0.93	0.99	0.82	0.46	0.51	0.25	-0.01
YJL201W	0.37	0.34	0.3	0.17	0.01	-0.06	-0.42	-0.17	-0.25	-0.4
YJL202C	0.52	0.16	0.19	0.54	0.08	0.07	-0.3	-0.43	-0.42	-0.4
YJL203W	0.34	0.19	0.01	-0.15	0.16	0.04	-0.49	-0.42	-0.25	-0.58
YJL204C	0.29	-0.01	0.1	0.18	0.01	-	-0.54	-0.34	-0.54	-0.64
YJL206C	0.58	0.92	1.32	0.65	0.98	0.72	-0.23	0.06	-0.67	-0.1
YJL207C	-0.52	-0.29	-0.01	0.34	-0.44	-0.43	-0.31	0.1	-0.18	-
YJL208C	-1.18	-1.29	-1.12	-0.47	-0.38	-0.06	0.21	-0.49	0.39	0.14
YJL209W	-0.36	0.25	-0.3	0.46	-0.07	-0.25	-0.07	-0.3	-0.1	0.31
YJL210W	0.16	0.6	0.11	0.4	-0.18	0.01	0.1	-0.2	0.43	0.34
