ORF	diamide 5m	diamide 10m	diamide 20m	diamide 30m	diamide 40m	diamide 50m	diamide 60m	diamide 90m
YDR267C	-0.14	-0.01	-0.07	-0.14	-0.11	-0.04	0.36	-0.01
YDR268W	-0.02	0.37	0.57	0.42	0.6	0.38	0.53	0.14
YDR269C	0.01	-0.38	0.01	0.14	0.12	-0.2	-0.11	-0.48
YDR270W	0.3	0.83	0.51	0.38	0.67	0.35	0.12	0.03
YDR271C	0.26	0.62	0.56	0.45	0.67	0.38	0.18	-
YDR272W	0.17	0.92	1.25	1.21	1.19	1	0.83	0.45
YDR273W	-0.25	-0.17	0.19	0.07	0.42	0.28	0.47	0.08
YDR274C	-0.76	-0.7	-1.44	-0.56	-1.05	-0.62	-0.44	-0.06
YDR275W	-0.45	-0.28	0.32	0.64	0.58	0.37	0.38	0.17
YDR276C	0.53	0.86	1.16	1.04	0.81	0.68	0.79	-0.03
YDR277C	1.53	1.73	2.01	1.09	0.48	-0.36	-1	-1
YDR278C	0.11	0.23	0.23	-0.07	-0.17	-0.15	-	-0.36
YDR279W	-0.17	-0.47	-0.56	-0.84	-0.38	-0.04	-0.25	0.08
YDR280W	-0.29	-0.38	-0.62	-0.67	-0.6	-0.51	-0.18	-0.18
YDR281C	-0.42	-1.15	-1.79	-1.56	-0.74	-	-0.25	-0.42
YDR282C	0.08	0.14	0.42	0.55	0.01	0.38	0.33	0.38
YDR283C	-	-0.17	-	-0.38	-0.36	-0.54	-0.25	0.14
YDR284C	0.25	0.54	0.58	0.61	0.38	0.49	0.37	0.28
YDR285W	-0.6	-0.46	-0.18	-0.15	-0.21	-0.38	-0.6	-0.3
YDR286C	0.33	0.41	0.82	0.86	0.07	0.66	0.33	0.14
YDR287W	0.18	0.73	0.98	1.21	1.23	1.12	1.05	0.71
YDR288W	-0.06	0.03	0.1	0.06	-0.34	-0.18	-0.12	-0.04
YDR289C	-0.42	-0.04	-	-0.22	-0.03	-0.09	-0.27	-0.09
YDR290W	-0.2	-0.22	0.01	-0.03	-0.34	-0.22	-0.36	-0.32
YDR291W	-0.45	-0.47	-0.32	-0.38	-0.22	-0.25	-0.32	-0.29
YDR292C	-0.1	-0.23	-0.3	-0.56	-0.43	-0.29	-0.38	-0.15
YDR293C	0.07	0.16	0.33	0.4	0.64	-0.09	0.58	0.21
YDR294C	0.32	0.43	0.73	0.66	0.78	0.46	1.07	0.16
YDR295C	-0.33	-0.36	-0.11	-0.26	0.19	0.12	-0.32	0.06
YDR296W	0.01	0.39	0.6	0.3	0.49	0.21	0.34	0.14
YDR297W	0.14	-0.32	-1.25	-1.22	-0.79	-0.29	0.77	0.11
YDR298C	0.34	0.82	0.54	0.1	0.01	-0.14	0.15	-0.03
YDR299W	-1.32	-2.06	-2.94	-2.56	-1.74	-1.32	-1.15	-0.47
YDR300C	-0.12	-0.84	-1.74	-1.51	-1.36	-0.89	-0.42	-0.29
YDR301W	-0.11	-0.27	-0.24	-0.25	-0.26	0.42	-0.35	-0.23
YDR302W	0.19	0.12	0.08	-	-0.01	-0.01	0.14	-0.07
YDR303C	-0.38	-0.43	-0.42	-0.49	-0.01	-0.4	-0.86	-0.06
YDR304C	0.54	0.75	0.75	0.77	0.76	0.61	0.66	0.25
YDR305C	0.03	0.39	0.36	0.21	0.33	0.29	0.19	0.26
YDR306C	0.26	0.33	0.49	0.29	0.4	0.28	0.41	0.34
YDR307W	-0.04	0.24	0.28	0.37	0.46	0.3	-0.15	-0.07
YDR308C	0.11	0.39	0.08	-	-0.32	0.07	0.01	-0.2
YDR309C	-0.14	-0.42	-0.74	-0.76	0.08	0.25	0.41	0.46
YDR310C	-0.18	-0.04	0.2	-0.07	0.15	0.18	-0.34	-0.06
YDR311W	-	-0.27	-0.29	-0.27	-0.1	-0.36	-0.36	-0.25
YDR312W	-1.12	-1.89	-2.06	-2.06	-1.43	-1	-0.84	-0.43
YDR313C	0.01	0.29	0.33	0.19	0.25	0.1	0.11	0.1
YDR314C	-0.47	-0.45	-0.29	-0.15	-1.29	-0.54	-0.79	-0.51
YDR315C	0.11	0.66	0.49	0.4	0.7	0.53	0.33	0.15
YDR316W	-0.25	0.38	0.58	0.43	-0.15	0.14	-0.42	-0.29
YDR317W	-0.18	-	-0.06	0.08	0.06	0.42	0.42	0.33
YDR318W	0.07	0.24	0.1	0.19	-0.17	-0.04	-0.1	0.12
YDR319C	0.18	0.52	0.32	0.41	0.54	0.48	0.44	0.31
YDR320C	-0.03	-0.04	0.29	0.25	0.34	0.39	0.71	0.72
YDR321W	-0.12	-0.43	-1.32	-1.74	-1.56	-1.15	-0.64	-0.27
YDR322W	0.16	0.49	0.58	0.54	0.38	0.16	0.28	-0.14
YDR323C	-0.27	-0.06	-0.25	-0.03	0.29	-0.01	-0.27	0.15
YDR324C	-0.89	-1.74	-1.84	-2.12	-1.47	-1.15	-0.86	-0.58
YDR325W	-0.42	-0.43	-0.42	-0.58	-0.4	-0.38	-1.03	-0.06
YDR326C	-0.49	-0.71	-0.49	-0.94	-0.43	-0.94	-1.25	-0.49
YDR327W	0.21	0.75	0.6	0.5	0.58	0.45	0.36	0.15
YDR328C	0.49	0.91	0.77	0.55	0.58	0.46	0.48	0.29
YDR329C	-0.27	0.5	0.62	0.36	0.53	0.2	-0.1	0.07
YDR330W	0.49	1.02	1.14	1.23	1.12	0.82	0.8	0.5
YDR331W	-0.07	-0.2	-0.49	-0.6	-0.6	-0.6	-0.4	-0.6
YDR332W	0.03	-0.22	-0.25	-0.17	-0.22	-0.36	-0.1	0.19
YDR333C	-0.32	-0.43	-0.4	-0.49	-0.3	-0.56	-0.34	-0.32
YDR334W	-0.04	0.16	0.48	0.25	0.21	-0.1	-0.47	-0.18
YDR335W	-0.07	0.08	0.33	0.29	0.26	0.07	-0.18	-0.12
YDR336W	0.24	0.24	-0.04	-0.04	-0.32	-0.18	-0.14	-0.06
YDR337W	-0.03	0.61	0.86	0.66	0.52	0.23	-0.1	-0.29
YDR338C	0.19	-0.43	-0.54	-0.43	-0.43	-0.36	-0.23	0.04
YDR339C	-0.17	-0.42	-0.86	-1.03	-0.67	-0.45	-0.17	-0.09
YDR340W	-0.1	0.15	-0.07	-0.04	0.16	0.15	0.36	0.49
YDR341C	-0.1	-0.56	-1.36	-1.74	-1.43	-1.25	-0.64	-0.38
YDR342C	1.84	2.51	2.81	2.66	1.74	0.9	0.36	0.1
YDR343C	1.77	2.4	2.66	2.67	1.81	1.05	0.22	0.12
YDR344C	0.06	0.44	0.2	0.06	-0.49	-0.6	-0.56	-0.38
YDR345C	0.99	0.58	0.51	0.48	-0.14	-0.67	-0.45	-0.67
YDR346C	-0.04	-0.23	-0.25	-0.12	-0.1	-0.1	0.55	0.42
YDR347W	0.16	0.46	0.45	0.45	0.78	0.6	0.45	0.24
YDR348C	-0.07	-0.09	-0.2	-0.15	0.07	-0.01	0.11	0.18
YDR349C	-0.22	-0.6	-0.79	-0.49	-0.29	-0.04	0.18	-0.03
YDR350C	0.1	0.04	0.07	0.32	0.48	0.07	0.52	0.29
YDR351W	-0.62	-0.81	-0.76	-0.58	-0.12	-0.23	-0.36	-0.09
YDR352W	-0.14	-0.3	-0.62	-0.45	-0.4	-0.23	0.07	-0.12
YDR353W	1.71	2.17	2.1	1.82	1.8	1.43	1.34	0.54
YDR354W	0.5	0.6	0.61	0.42	0.5	0.25	-0.34	-0.04
YDR355C	-0.84	-0.67	-0.58	-0.45	-0.51	-0.64	-0.86	-0.56
YDR356W	-0.78	-0.63	-0.42	-0.57	-0.2	-0.43	-0.72	-0.1
YDR357C	0.12	0.53	0.63	0.7	0.89	0.96	0.58	0.25
YDR358W	0.58	0.93	1.59	1.23	1.15	0.53	0.32	0.14
YDR359C	-0.24	-0.1	0.04	-0.12	0.11	-0.06	-0.34	0.01
YDR360W	-0.34	-0.3	-0.15	-0.09	-0.06	-0.38	-0.45	-0.38
YDR361C	-0.58	-1.09	-2.12	-2.18	-1.84	-1.12	-0.49	-0.3
YDR362C	-0.29	-0.23	0.08	0.15	0.43	0.15	0.59	0.38
YDR363W	-0.67	-0.58	-0.34	-0.29	-0.01	-	0.12	0.08
YDR364C	-0.2	-0.32	-0.34	-0.09	-0.12	-0.07	0.1	0.16
YDR365C	-1.03	-1.29	-2	-1.94	-1.09	-0.67	-0.18	0.19
YDR366C	-0.58	1	-	0.32	-1.6	-	-	0.85
YDR367W	0.1	0.2	-0.07	-0.22	-0.09	0.07	-0.07	0.01
YDR368W	0.73	1.25	1.49	1.41	1.63	1.42	1.43	1.03
YDR369C	-0.22	0.11	0.44	0.32	0.46	0.61	0.15	0.25
YDR370C	-0.25	-0.36	-0.42	-0.38	-0.25	-0.25	-0.17	0.06
YDR371W	0.03	0.34	0.58	0.53	0.54	0.45	0.16	0.1
YDR372C	0.18	0.58	0.49	0.19	0.21	0.21	0.18	0.33
YDR373W	0.2	0.56	0.58	0.53	0.69	0.7	0.71	0.38
YDR374C	-0.22	-0.32	0.23	0.19	-0.03	0.06	0.2	-0.17
YDR375C	0.18	0.53	0.81	0.73	0.7	0.46	0.41	-0.04
YDR376W	-0.01	0.38	0.56	0.4	0.65	0.46	0.48	0.46
YDR377W	0.29	0.86	0.59	0.21	0.18	-0.04	0.15	0.04
YDR378C	0.5	0.65	0.28	0.23	-0.1	0.06	0.18	0.21
YDR379W	-0.38	0.11	0.04	0.33	0.55	0.04	-0.2	0.19
YDR380W	0.61	1.93	3.46	3.61	2.86	2.14	1.36	0.19
YDR381W	0.07	0.79	0.45	0.06	0.04	-0.07	0.29	0.16
YDR382W	0.56	0.43	-0.27	-0.84	-1.06	-0.97	-0.69	-0.34
YDR383C	-0.27	-0.04	-0.22	-0.25	-0.25	-0.09	0.1	0.19
YDR384C	0.06	-1.06	-1.56	-1.15	-0.92	-1.09	-1.12	-1
YDR385W	-	-0.38	-1.03	-1.18	-1.06	-0.86	-0.51	-0.32
YDR386W	-0.2	-0.18	0.2	0.16	-0.17	0.26	-0.15	0.52
YDR387C	-	0.23	0.23	0.59	0.57	0.53	0.44	0.4
YDR388W	0.42	0.12	0.6	0.33	0.83	0.58	0.71	0.58
YDR389W	-0.51	-0.51	-0.43	-0.84	-0.51	-0.54	-0.76	-0.38
YDR390C	-0.2	-0.38	-0.23	-0.47	-0.06	-0.36	-0.2	-0.01
YDR391C	0.5	1.22	1.77	1.5	1.55	1.28	1.94	0.79
YDR392W	0.04	0.32	0.55	0.25	0.19	0.33	0.5	0.01
YDR393W	-0.27	-0.51	-0.43	-0.32	-0.18	-0.27	-0.3	-0.04
YDR394W	0.43	0.9	1.24	1.15	1.29	1.1	1.38	0.67
YDR395W	-0.38	-1.15	-1.51	-1.47	-0.94	-0.86	-0.47	-0.17
YDR396W	-0.09	-0.04	-0.22	-0.14	-0.12	0.04	0.07	-0.07
YDR397C	-0.25	-0.2	-0.38	-0.34	-0.58	0.03	0.06	0.07
YDR398W	-1.03	-2	-2.56	-1.74	-1.36	-0.76	-0.1	-0.18
YDR399W	-0.42	-1.69	-2.94	-2.74	-2.12	-1.43	-0.84	-0.97
YDR400W	-0.14	-0.51	-0.3	-0.04	0.34	0.93	1.36	0.98
YDR401W	-0.06	-0.69	-0.51	-0.22	-0.29	-0.12	0.01	-0.29
YDR402C	-0.3	-0.47	-0.06	0.19	1.85	-0.1	0.16	0.11
YDR403W	-0.42	-0.23	0.04	0.41	-	0.08	0.11	-0.1
YDR404C	0.25	0.45	0.25	0.14	-	0.03	-0.12	-0.18
YDR405W	0.15	0.62	0.75	0.54	-	0.29	0.15	0.01
YDR406W	0.38	0.74	0.67	1.11	0.44	0.02	0.06	-0.15
YDR407C	-0.23	-0.17	-0.07	-0.32	-	0.16	-0.56	0.07
YDR408C	0.12	-0.07	-0.47	-0.67	-0.62	-0.43	-0.42	-0.51
YDR409W	-0.15	-0.59	-0.49	-0.57	-0.2	-0.45	-0.66	-0.49
YDR410C	0.11	0.21	0.1	0.29	0.11	0.37	0.37	0.19
YDR411C	0.33	0.45	0.51	0.74	0.93	0.82	0.89	0.86
YDR412W	-0.51	-0.97	-1.43	-1.29	-1	-0.81	-0.36	-0.2
YDR413C	-0.71	-1.03	-1.69	-1.47	-1.22	-0.89	-0.49	-0.29
YDR414C	-0.06	-0.12	-0.27	-0.25	-0.27	-0.25	-0.3	-0.22
YDR415C	-	0.14	0.06	0.08	0.21	-0.03	-0.06	-0.07
YDR416W	-0.36	-0.45	-0.38	-0.36	-0.42	-0.4	-0.36	-0.22
YDR417C	0.32	0.25	-0.6	-1.18	-1.03	-0.71	-0.51	-0.45
YDR418W	0.5	0.38	-0.64	-1.09	-1	-0.74	-0.49	-0.45
YDR419W	-0.42	-0.56	-0.47	-0.45	-0.1	-0.1	-0.12	0.12
YDR420W	-0.14	0.16	-0.34	-0.23	-0.44	-0.53	-0.32	-0.71
YDR421W	-0.14	0.19	0.29	0.28	0.48	0.06	-0.49	0.2
YDR422C	-0.25	-0.43	-0.36	-0.3	-0.27	-0.38	-0.3	-0.07
YDR423C	0.06	0.34	0.21	0.28	0.53	0.5	0.23	0.32
YDR424C	0.44	0.75	0.68	0.61	0.53	0.59	0.38	0.04
YDR425W	-0.01	0.06	0.2	0.26	0.64	0.12	0.18	0.15
YDR426C	0.54	0.46	0.25	0.32	0.41	0.03	0.06	0.21
YDR427W	0.3	0.85	0.7	0.92	1.01	0.72	1.12	0.44
YDR428C	0.26	0.29	-0.04	0.03	-	-0.2	-0.09	0.04
YDR429C	-0.25	-0.2	-0.67	-0.49	-0.38	-0.38	-0.14	-0.36
YDR430C	-3.18	1.58	-	0.58	-1	-1.51	-2.32	2
YDR431W	-0.51	-0.45	-0.12	0.26	0.14	-0.58	-0.18	-0.92
YDR432W	0.4	0.03	0.07	-0.09	0.23	-0.18	0.48	0.18
YDR433W	0.16	0.06	-0.01	-0.32	0.21	-0.23	0.36	-0.22
YDR434W	-1.22	-	-0.74	-	-	-	-	-
YDR435C	0.31	0.16	0.4	0.26	0.1	-0.18	-0.34	-0.56
YDR436W	0.59	0.49	0.77	1.04	0.86	0.29	0.2	0.23
YDR437W	-0.38	-0.86	-0.71	-0.18	-0.29	-0.29	-0.32	-0.36
YDR438W	0.33	-0.09	-0.22	-0.01	-0.07	-0.03	-0.03	-0.15
YDR439W	-0.47	-0.36	-0.54	-0.38	-0.29	-0.17	-0.29	-0.12
YDR440W	-0.47	-0.6	-0.86	-0.76	-0.74	-0.47	-0.79	-0.25
YDR441C	-0.07	-0.51	-0.97	-0.92	-0.79	-0.56	-0.17	-0.45
YDR442W	-0.14	0.15	-0.06	0.12	0.08	-0.15	-0.25	-0.17
YDR443C	-0.23	-0.25	-0.15	-0.22	0.11	-0.23	-0.4	-0.22
YDR444W	-0.29	-0.49	-0.74	-0.56	-0.62	-0.54	-0.6	-0.01
YDR445C	-0.54	-0.54	-0.69	-0.76	-0.76	-0.56	-0.81	-0.36
YDR446W	-0.27	-0.29	-0.84	-0.47	-1.43	-1.09	-0.86	-0.84
YDR447C	0.08	-0.15	-0.81	-1.47	-1.56	-1.18	-0.86	-0.6
YDR448W	-0.43	-0.14	-0.45	-0.4	-0.36	-0.42	-0.58	-0.12
YDR449C	-1.18	-1.79	-1.89	-2.12	-1.6	-1.25	-0.97	-0.51
YDR450W	0.5	0.43	-0.1	-1	-1.06	-0.97	-0.58	-0.47
YDR451C	-0.12	0.34	0.44	0.37	0.6	0.45	-0.34	0.57
YDR452W	-0.14	0.29	0.8	0.66	0.91	0.62	0.07	0.31
YDR453C	0.69	1.73	3.03	3.46	3.66	3.62	3.28	1.64
YDR454C	0.36	0.39	0.1	-0.47	-0.34	-0.25	0.1	0.36
YDR455C	-0.32	-0.36	-0.23	0.07	-0.01	0.01	-0.25	-0.4
YDR456W	0.16	0.12	0.24	0.29	0.4	0.25	-	0.12
YDR457W	-0.23	-0.17	-0.04	-0.44	-0.13	-0.43	-0.1	-0.71
YDR458C	-0.36	-0.18	0.14	-0.03	0.1	-	-0.18	-0.06
YDR459C	-0.18	0.01	-0.07	0.07	0.25	0.19	-	0.07
YDR460W	-	0.08	0.41	0.14	0.42	0.25	0.12	0.15
YDR461W	0.44	0.21	-0.27	-0.4	-0.1	0.33	0.93	0.28
YDR462W	0.58	1.04	1.44	1	1.17	0.91	0.48	-0.15
YDR463W	-0.18	-0.36	-0.23	-0.25	-0.01	-	-0.22	-0.07
YDR464W	-0.54	-0.55	-0.66	-0.56	-0.58	-0.56	-0.65	-0.26
YDR465C	-0.54	-1.15	-2.47	-2.74	-2.06	-1.12	-0.25	-0.32
YDR466W	-0.3	-0.15	0.06	-0.17	0.08	-0.15	-0.29	-
YDR467C	-0.23	0.04	0.07	-0.12	0.21	0.07	-0.14	-0.14
YDR468C	-0.01	0.41	0.43	0.31	0.36	0.34	0.16	0.24
YDR469W	-0.12	-0.06	-0.32	-0.43	-0.2	0.04	-0.07	-0.04
YDR470C	0.25	0.5	0.54	0.26	0.57	0.16	-0.06	0.03
YDR471W	0.37	0.2	-0.67	-1.22	-0.94	-0.54	-0.29	-0.29
YDR472W	0.36	0.38	-0.2	-0.36	-0.12	-0.22	0.06	-0.15
YDR473C	-0.86	-0.92	-0.89	-0.86	-0.47	-0.49	-0.64	-0.1
YDR474C	0.11	0.48	0.7	0.74	0.33	0.28	0.55	0.28
YDR475C	-0.22	-0.25	0.06	0.32	0.04	-	0.08	-0.22
YDR476C	0.48	0.7	0.84	1.04	0.96	1.18	1.39	0.86
YDR477W	0.07	0.24	0.48	0.41	0.54	-	-0.45	-
YDR478W	-0.07	0.03	-0.2	-0.18	-0.29	-0.22	-0.17	-0.01
YDR479C	0.3	0.41	0.62	0.68	0.64	0.28	0.08	0.32
YDR480W	0.3	0.29	0.33	0.15	-0.06	0.26	0.11	0.4
YDR481C	-0.17	-0.25	-0.32	-	0.28	0.03	0.75	-0.14
YDR482C	-0.03	-0.07	0.1	0.29	-0.12	0.23	0.43	0.23
YDR483W	-0.06	-0.09	-0.32	-0.27	-0.06	-0.62	0.16	-0.04
YDR484W	-0.04	-0.09	0.11	0.16	-0.03	-0.09	-0.12	0.08
YDR485C	-0.86	-0.58	-0.42	-0.29	-0.09	-0.15	-0.32	-0.1
YDR486C	0.28	0.57	0.78	0.67	0.58	0.56	0.66	0.14
YDR487C	0.24	0.58	0.4	0.44	0.77	0.95	1.21	0.72
YDR488C	-0.17	-0.49	-0.23	0.1	-0.23	-0.2	0.16	-0.01
YDR489W	-0.07	-0.01	-0.04	-0.03	0.16	0.03	-0.12	0.06
YDR490C	0.12	0.25	0.62	0.41	0.52	0.12	-0.32	-0.04
YDR491C	-1.09	-1.89	-2.32	-2.06	-1.69	-1.29	-0.42	-0.23
YDR492W	-1	-1.94	-2.84	-2.12	-1.94	-1.43	-0.38	-0.27
YDR493W	-0.01	0.38	0.52	0.53	0.38	0.45	0.32	-
YDR494W	-0.22	0.44	0.73	0.59	0.41	0.12	-0.07	-0.15
YDR495C	-0.6	-0.36	-0.29	-0.29	-0.03	-0.12	-0.45	-0.07
YDR496C	-1.42	-2.49	-3.25	-2.77	-2.22	-1.78	-0.93	-0.64
YDR497C	-0.06	-0.09	0.28	0.86	0.99	0.73	0.4	0.55
YDR498C	0.29	0.24	0.21	0.3	-0.07	-0.04	-0.1	0.03
YDR499W	-0.38	-0.45	-0.49	-0.47	-0.38	-0.4	-0.69	-0.1
YDR500C	0.48	0.4	-0.38	-0.84	-0.89	-0.71	-0.56	-0.49
YDR501W	-0.09	-0.3	-0.34	-0.42	0.01	-0.18	-0.38	0.01
YDR502C	0.64	0.72	0.38	0.18	-0.04	0.07	0.4	0.06
YDR503C	0.16	0.66	0.79	0.77	1.14	1.03	0.7	0.68
YDR504C	0.01	0.58	0.51	0.48	0.19	-	-0.03	0.07
YDR505C	-	0.3	0.34	0.31	0.67	0.12	0.12	0.15
YDR506C	-0.07	0.06	0.49	0.57	0.04	0.26	0.41	0.33
YDR507C	-1.22	-1.15	-1.15	-1.25	-0.27	-0.45	-1.09	-0.2
YDR508C	-0.06	-0.64	-0.92	-0.76	-0.62	-0.81	-1.18	-0.64
YDR509W	-0.28	-0.69	-0.43	-0.49	-0.77	-0.33	-1.01	-0.57
YDR510W	0.48	0.72	0.65	0.59	0.66	0.69	0.67	0.46
YDR511W	0.4	1.14	1.07	1.34	1.44	1.15	0.7	0.33
YDR512C	0.99	1.71	1.73	1.66	1.56	1.38	0.91	-
YDR513W	1.73	2.7	2.77	2.64	2.48	1.95	1.46	0.73
YDR514C	-0.09	0.08	-0.17	-0.03	-0.09	0.01	-0.03	-
YDR515W	-0.3	0.48	0.63	0.6	0.88	0.64	0.23	-
YDR516C	1.91	3.15	3.2	2.28	1.45	0.66	0.33	-
YDR517W	0.39	0.56	0.39	0.24	0.19	0.03	0.06	-0.04
YDR518W	0.04	0.03	0.07	0.37	0.86	0.95	1.07	-
YDR519W	0.18	0.33	0.21	0.56	1.05	1.23	1.61	1.26
YDR520C	-	-0.34	-0.4	-0.27	0.04	0.08	0.06	-
YDR521W	-0.29	-0.86	-0.74	-0.49	-0.43	-0.42	-0.34	-0.17
YDR522C	-0.32	-0.45	-0.34	-0.03	-	-0.38	-0.42	-0.36
YDR523C	-1	-1.47	-1	-0.81	-1.09	-1.03	-0.42	-0.86
YDR524C	-0.2	-0.81	-0.86	-0.64	-0.51	-0.45	-0.23	-0.2
YDR525W	-0.34	-0.25	-0.34	-0.15	-0.84	-1.03	-0.6	-0.86
YDR526C	-0.69	-1.25	-0.97	-0.76	-0.79	-0.49	-0.3	-0.25
YDR527W	-0.62	-1.03	-1.06	-1.03	-0.71	-0.32	-0.22	-0.36
YDR528W	-0.29	-0.49	-0.3	0.01	0.58	0.2	-0.34	0.4
YDR529C	0.52	1.24	0.77	0.19	0.06	-0.23	-0.6	-0.38
YDR530C	0.32	0.62	0.58	0.82	0.66	0.31	0.36	0.14
YDR531W	0.15	0.19	0.03	0.03	0.12	0.14	0.3	-0.12
YDR532C	-0.25	-0.27	-0.36	-0.04	-0.17	-0.27	-0.49	-
YDR533C	2.71	4.11	4.56	4.98	5.24	5.23	5.06	4.12
YDR534C	-0.03	0.32	0.39	0.81	0.86	0.75	0.53	0.85
YDR535C	-0.4	-0.69	-0.38	-0.1	-0.36	-0.47	-0.27	-0.51
YDR536W	-0.29	0.15	0.03	0.28	0.1	-0.1	0.33	0.08
YDR537C	-0.23	-0.51	-0.6	-0.64	-0.54	-0.29	-0.18	-0.15
YDR538W	-0.1	-0.27	-0.45	-0.38	-0.51	-0.32	-0.27	-0.1
YDR539W	-	-0.45	-0.49	-0.25	0.31	0.29	0.73	0.56
YDR540C	-0.09	0.06	0.19	0.29	0.44	0.3	-	0.56
YDR541C	-0.18	-0.32	-0.56	-0.3	0.08	0.21	0.48	0.46
YDR542W	-0.18	0.03	-0.27	-0.14	0.06	-0.01	0.32	0.46
YDR543C	0.11	-0.47	-0.49	-0.3	-0.29	-0.36	-0.32	-0.25
YDR544C	-0.27	-0.17	-0.45	-0.3	-0.27	-0.36	-0.38	-0.23
YDR545W	0.01	-0.16	-0.03	-0.06	-0.04	-0.08	-0.26	-0.21
YEL001C	0.36	0.51	0.43	0.42	0.62	0.59	0.73	0.44
YEL002C	-0.03	0.23	0.18	0.25	0.36	0.48	0.58	0.36
YEL003W	0.08	0.16	0.06	-0.15	-0.04	0.04	0.06	0.03
YEL004W	0.08	0.15	0.32	0.31	0.42	0.31	0.38	-
YEL005C	0.26	0.5	0.6	0.55	0.71	0.54	0.49	0.31
YEL006W	-0.02	0.29	0.16	0.02	0.03	0.23	0.31	-0.07
YEL007W	0.5	0.51	0.8	0.54	0.59	0.03	-0.26	-0.03
YEL008W	-0.04	-0.25	-0.36	-0.3	-0.38	-0.57	-0.42	-0.67
YEL009C	0.33	0.34	-0.4	-0.49	-0.23	-0.23	0.03	0.04
YEL010W	-0.04	0.11	0.24	0.01	0.14	-0.04	0.07	-0.18
YEL011W	1.76	2.66	3.8	3.79	3.1	1.65	0.38	0.37
YEL012W	0.55	1.67	1.75	1.32	1.26	1.01	0.51	0.43
YEL013W	0.12	0.51	0.57	0.63	0.5	-0.06	-0.12	-0.01
YEL014C	-0.29	-0.04	-0.06	-0.58	0.07	-0.09	0.08	-0.06
YEL015W	-0.01	-0.01	-0.1	-0.27	-0.29	-0.49	-0.47	-0.12
YEL016C	0.03	-0.04	-0.01	-0.04	0.16	0.43	0.03	0.59
YEL017C-A	0.33	-	-0.3	-0.56	-0.62	-0.54	-	-0.42
YEL017W	0.2	0.45	0.41	0.4	0.4	0.3	-0.06	0.15
YEL018W	0.01	-0.03	-0.12	-0.14	-0.25	-0.17	0.07	-0.14
YEL019C	-0.23	-1	-0.56	-0.34	-0.1	0.11	-	0.06
YEL020C	-0.01	0.32	0.61	-	0.7	0.48	0.7	1.19
YEL021W	0.01	-0.14	-0.69	-1.18	-1.15	-0.94	-1.22	-0.51
YEL022W	-0.15	-0.18	-	-	-	0.52	-0.06	-0.04
YEL023C	-0.2	-0.2	0.1	-0.29	0.33	0.21	0.15	0.14
YEL024W	0.44	1.08	0.7	0.33	0.06	-0.09	-0.38	-0.15
YEL025C	0.06	-0.53	-0.03	-0.16	-0.14	-0.21	-0.3	-0.44
YEL026W	0.28	-0.32	-1.25	-1.69	-1.09	-0.67	-0.03	-0.09
YEL027W	0.46	0.07	0.03	0.06	0.01	0.06	0.14	-0.12
YEL028W	-0.18	-0.22	-0.07	-0.23	-0.27	-0.17	0.14	-0.01
YEL029C	-0.18	-0.29	-0.42	-0.34	-0.1	-0.12	0.04	-0.01
YEL030W	0.6	0.25	0.7	0.7	0.78	0.56	0.51	0.42
YEL031W	0.31	0.68	0.19	0.24	-0.21	-0.44	0.11	-0.15
YEL032W	-0.06	-0.22	-0.41	-0.31	-0.11	-0.2	-0.56	-0.66
YEL033W	-	0.7	0.18	0.2	0.07	0.1	-	0.31
YEL034W	0.37	0.56	0.25	0.03	-0.06	0.1	-0.1	0.03
YEL035C	-	-	-	-0.23	-0.38	-0.29	0.32	-0.49
YEL036C	0.18	0.14	0.1	0.14	0.32	0.29	0.29	0.23
YEL037C	0.2	0.63	0.86	0.84	1.15	1.01	0.92	0.44
YEL038W	0.4	0.71	0.86	0.64	0.45	0.14	0.1	-0.38
YEL039C	0.78	1.6	1.9	1.53	1.02	0.52	-0.45	-0.76
YEL040W	-0.12	-0.74	-1.22	-1.47	-1.47	-1.56	-1.84	-1.4
YEL041W	0.7	2.4	2.57	2.77	2.81	2.2	1.29	0.62
YEL042W	0.04	-0.36	-0.64	-0.54	-0.47	-0.29	-0.43	-0.12
YEL043W	-0.27	-0.58	-0.38	-0.3	-0.23	-0.23	-0.43	-0.62
YEL044W	0.29	0.01	-0.2	-0.34	-0.23	-0.23	0.14	-0.14
YEL045C	-0.23	-0.36	-0.67	-0.58	-0.58	-0.51	-0.06	-0.45
YEL046C	0.56	-0.49	-1.15	-1.12	-0.92	-0.81	-0.36	-0.54
YEL047C	0.1	0.3	0.14	0.2	0.56	0.65	0.91	0.39
YEL048C	-0.43	-0.74	-0.86	-1.32	-0.62	-0.64	-0.56	-0.09
YEL049W	-0.12	0.04	-0.1	-0.14	-0.1	-0.03	0.26	-0.06
YEL050C	0.25	0.82	0.89	0.95	0.65	0.59	0.42	0.08
YEL051W	0.23	0.55	0.32	-0.2	-0.09	0.11	0.04	-
YEL052W	0.44	0.62	0.39	0.1	-0.04	-0.15	-0.17	-0.32
YEL053C	-0.47	-0.42	-0.36	-1.74	-0.74	-0.22	-0.01	-
YEL054C	0.57	0.3	-0.58	-1.25	-1.06	-0.84	-0.6	-0.51
YEL055C	-0.48	-0.9	-1.13	-1.36	-1.18	-0.92	-0.76	-0.47
