ORF	diamide 5m	diamide 10m	diamide 20m	diamide 30m	diamide 40m	diamide 50m	diamide 60m	diamide 90m
YOR023C	0.33	0.41	0.59	0.68	0.82	0.36	0.82	0.31
YOR024W	-0.49	-0.36	-0.22	-	-0.56	-0.74	-0.74	-
YOR025W	-0.01	-0.14	-0.06	-0.12	-0.06	-0.29	-0.94	-0.17
YOR026W	-0.07	-0.36	-0.54	-0.67	-0.51	-0.42	-0.23	0.16
YOR027W	1.15	1.9	2.2	1.51	1.38	1.34	1.24	1.32
YOR028C	2.08	2.5	1.79	1.59	0.94	-0.12	-0.49	-0.32
YOR029W	0.69	-0.25	-0.12	-0.12	-0.43	-0.6	-0.45	-0.94
YOR030W	0.15	-0.32	-0.07	-0.17	-0.04	-0.07	-0.29	-0.03
YOR031W	-0.07	0.4	0.28	0.82	0.8	0.63	0.38	0.12
YOR032C	0.32	0.77	0.93	1.12	-	0.45	0.83	0.21
YOR033C	-0.43	-0.43	-0.14	-0.36	-0.29	-0.14	-0.51	-0.4
YOR034C	-0.15	-0.92	-1	-0.74	-0.58	-0.3	-0.1	0.1
YOR035C	0.16	-0.06	0.24	0.26	0.37	0.3	0.58	0.38
YOR036W	0.58	1.05	1.26	0.82	0.83	0.81	1.37	0.43
YOR037W	-	0.18	0.12	0.21	0.38	0.5	0.57	0.48
YOR038C	0.06	-0.25	-	-0.3	-0.27	-0.38	-0.36	-0.07
YOR039W	-0.01	0.03	-0.18	-0.43	-0.22	-0.4	-0.3	-0.15
YOR040W	-	0.16	-0.07	0.19	0.28	0.29	0.67	-0.2
YOR041C	-0.15	0.12	0.11	0.5	0.61	0.41	0.26	0.07
YOR042W	0.38	0.7	0.99	0.77	0.91	0.82	0.51	0.4
YOR043W	-0.06	-0.4	-0.4	-0.49	-0.17	-0.54	-0.22	-0.38
YOR044W	0.1	0.11	1.43	0.01	0.23	0.26	0.81	-
YOR045W	0.43	0.53	0.43	0.62	0.66	0.58	0.57	0.1
YOR046C	0.06	-0.04	-0.32	-0.56	-0.36	-0.34	-0.25	0.16
YOR047C	-0.49	-0.86	-1.29	-0.97	-0.92	-0.79	-0.4	-0.4
YOR048C	0.06	-0.62	-1.03	-0.42	-0.47	-0.22	-0.37	-0.11
YOR049C	1.61	1.57	0.72	0.19	-0.25	-0.2	-0.32	-0.34
YOR050C	-0.06	-0.34	-0.06	0.01	-0.34	-0.42	-0.3	-0.14
YOR051C	-0.36	-0.32	-0.92	-1.15	-0.86	-0.67	-0.43	-0.36
YOR052C	1.32	2.23	2.63	2.24	1.95	1.89	2	1.27
YOR053W	-0.23	0.21	0.45	0.14	0.38	0.21	0.19	-0.01
YOR054C	0.08	0.41	0.89	0.62	0.8	0.38	0.14	0.44
YOR055W	-0.14	0.04	0.52	0.51	0.58	0.11	-0.17	-0.22
YOR056C	-0.86	-1.29	-2	-0.97	-1.29	-1.03	-0.58	-0.04
YOR057W	-0.22	0.06	0.01	-0.03	0.31	0.29	0.36	0.41
YOR058C	-0.19	0.02	0.07	-	0.17	-0.11	-0.27	-0.14
YOR059C	0.11	0.96	1.4	1.38	1.28	1.34	1.66	0.76
YOR060C	-0.15	0.16	0.19	0.1	0.03	-	0.32	0.07
YOR061W	-0.15	0.01	-0.09	-0.14	0.05	-0.05	0.07	-0.38
YOR062C	0.33	0.58	0.84	0.95	0.48	0.47	0.76	0.06
YOR063W	0.44	0.14	-0.62	-1.36	-1.25	-0.94	-0.42	-0.4
YOR064C	-0.17	0.19	-	-0.03	-0.15	-0.25	-0.22	0.08
YOR065W	0.41	0.91	0.9	0.58	0.88	0.11	-0.01	-0.06
YOR066W	-0.36	-0.4	-0.29	-0.17	0.21	-0.32	-0.07	-0.54
YOR067C	-0.01	-0.29	-0.42	-0.34	-0.06	0.01	0.04	0.04
YOR068C	-0.07	0.03	0.39	0.42	0.21	0.23	0.3	0.07
YOR069W	-0.15	0.19	0.61	0.41	0.59	0.48	0.42	0.39
YOR070C	0.28	0.33	0.53	0.37	0.24	0.1	0.04	0.28
YOR071C	-0.12	-0.34	-0.34	0.12	0.5	0.4	0.56	0.59
YOR072W	-0.04	-0.1	-0.18	0.07	-0.58	-0.42	-0.18	-0.27
YOR073W	-0.18	-0.18	-0.18	-0.6	-0.34	-0.6	-1.25	-0.06
YOR074C	0.18	0.28	0.2	0.03	-0.01	0.36	0.29	0.3
YOR075W	-0.18	0.03	0.11	-0.09	0.06	0.11	-0.25	0.2
YOR076C	-0.03	0.03	0.18	0.14	0.12	-0.06	-0.38	0.14
YOR077W	-0.42	-0.54	-0.22	0.01	0.11	-0.1	-0.2	0.06
YOR078W	-0.74	-1.18	-1.47	-1.36	-0.97	-0.76	-0.64	-0.09
YOR079C	0.07	0.1	-0.25	-0.17	0.06	-0.32	0.16	0.03
YOR080W	-0.2	-0.12	-0.1	-0.04	-0.32	-0.18	-0.09	0.1
YOR081C	0.12	-0.12	-0.18	0.06	0.25	0.21	0.15	0.31
YOR082C	-	-0.34	-0.2	0.01	-0.47	-0.32	-0.43	-0.43
YOR083W	-0.22	-0.54	-0.29	-0.22	-0.38	-0.54	-0.22	-0.1
YOR084W	0.26	0.26	0.24	0.2	-0.06	-0.12	0.7	0.44
YOR085W	0.06	-	-0.03	0.07	0.19	0.12	0.23	0.19
YOR086C	-0.02	0.03	0.38	0.38	0.26	-	-0.27	-0.09
YOR087W	0.01	-0.14	0.39	0.59	0.69	0.4	0.39	0.23
YOR088W	0.26	0.73	0.76	0.91	0.93	-	0.46	0.39
YOR089C	0.12	0.57	0.58	0.5	0.43	0.44	0.42	0.18
YOR090C	0.29	0.59	0.53	0.57	-0.2	0.32	0.23	0.38
YOR091W	-0.56	-1.32	-2.06	-1.74	-1.29	-0.76	-0.54	-0.06
YOR092W	-0.17	-0.06	-0.22	0.04	0.07	0.04	0.62	0.28
YOR093C	-0.12	-0.51	-0.25	-0.13	-0.16	-0.37	-0.56	-0.17
YOR094W	-0.06	-0.29	-0.54	-0.67	-0.76	-0.43	-0.23	-0.22
YOR095C	-0.27	-1.03	-2.4	-2.47	-2.12	-0.97	-0.49	-0.3
YOR096W	0.44	0.3	-0.43	-1.18	-1.18	-1.03	-0.58	-0.3
YOR097C	0.46	0.9	0.7	0.68	0.65	0.64	0.38	0.2
YOR098C	-0.15	-0.86	-0.92	-0.86	-0.67	-0.76	-0.45	-0.4
YOR099W	0.1	0.2	-0.04	0.28	0.51	0.72	0.95	0.74
YOR100C	-0.04	0.14	0.6	1.2	0.21	0.2	0.41	-0.2
YOR101W	-0.12	-0.36	-0.86	-0.79	-0.6	-0.54	-0.2	-0.23
YOR102W	0.23	0.36	0.2	0.37	0.24	0.46	0.85	0.42
YOR103C	0.14	0.37	0.16	0.24	0.43	0.57	0.81	0.31
YOR104W	-0.27	-0.12	-0.04	0.15	0.07	0.03	0.32	0.38
YOR105W	-0.38	-0.29	-0.18	0.01	0.21	0.06	0.1	-0.04
YOR106W	-0.18	-0.14	-0.27	-0.18	-0.42	-0.25	-0.27	-0.12
YOR107W	-0.56	-0.51	-0.84	-0.62	-0.49	-0.09	0.84	0.21
YOR108W	-0.22	-0.58	-1.18	-0.76	-0.6	-0.36	-0.22	-0.14
YOR109W	-0.12	-0.36	-0.17	-0.1	0.24	-0.04	-0.25	-0.2
YOR110W	-0.09	0.21	0.23	0.18	0.03	-0.19	-0.07	0.13
YOR111W	-0.01	0.19	0.18	0.21	0.33	0.26	0.39	0.11
YOR112W	-0.01	-0.22	-0.03	-0.06	0.04	-0.09	-0.25	0.03
YOR113W	-0.04	-0.09	0.2	0.06	0.34	0.04	-0.3	0.14
YOR114W	-	-0.06	-0.1	-0.03	-0.12	-0.15	-0.32	-0.07
YOR115C	-0.04	0.21	-0.03	-0.14	-0.01	0.25	0.19	0.24
YOR116C	-0.49	-1.17	-0.86	-1.11	-0.91	-0.69	-0.32	-0.44
YOR117W	0.4	0.91	1.12	1.16	1.29	1.14	1.29	0.65
YOR118W	-0.25	-0.38	-0.38	-0.34	-0.3	-0.45	-0.27	-0.06
YOR119C	-1.06	-1.56	-1.29	-1.36	-1.06	-0.84	-0.79	-0.43
YOR120W	0.95	2.52	3	3.02	2.83	2.54	2.37	1.01
YOR121C	0.63	1.79	2.11	2.21	2.06	1.98	1.49	0.21
YOR122C	0.57	0.84	0.82	0.99	0.94	0.79	0.82	0.5
YOR123C	-0.89	-0.84	-0.67	-0.94	0.08	-0.58	-0.69	-0.32
YOR124C	-	0.32	0.81	0.51	0.87	0.26	-0.13	0.16
YOR125C	0.38	0.9	0.96	1.01	0.99	0.83	0.39	0.1
YOR126C	0.31	0.2	0.2	0.25	0.41	0.3	0.75	0.18
YOR127W	-0.6	-0.89	-0.79	-0.64	-0.29	-0.27	-0.3	-0.12
YOR128C	-0.09	-0.74	-0.71	-0.49	-0.32	-0.56	-0.54	-0.38
YOR129C	-0.58	-0.92	-0.92	-1.09	-0.56	-0.67	-0.81	-0.32
YOR130C	0.31	0.49	0.36	0.29	0.25	0.32	0.33	0.29
YOR131C	0.04	0.55	0.32	0.21	0.19	0.12	0.18	-0.15
YOR132W	0.46	0.74	0.82	0.41	0.48	0.29	0.11	0.01
YOR133W	-0.01	-0.56	-1.18	-1.32	-1.12	-0.92	-0.51	-0.43
YOR134W	-0.07	0.57	0.79	0.78	1.32	1.11	3.68	0.59
YOR135C	0.11	0.48	0.49	0.49	0.3	0.18	0.07	-0.43
YOR136W	0.44	0.93	0.77	0.55	0.42	0.19	0.08	-0.3
YOR137C	0.12	0.42	0.5	0.71	0.78	0.44	1.3	0.58
YOR138C	0.25	0.04	0.18	0.31	0.44	0.29	0.5	0.48
YOR139C	-0.23	-0.64	-0.4	-0.36	-0.42	-0.58	-0.1	-0.06
YOR140W	-0.2	-0.56	-0.47	-0.42	0.03	-0.01	-0.1	0.11
YOR141C	-0.56	-0.89	-0.47	-0.6	-0.32	-0.36	-0.3	-0.04
YOR142W	0.38	0.95	1.3	1.41	1.29	0.93	0.48	0.37
YOR143C	-0.07	-	-0.3	-0.22	-0.3	-0.25	-0.18	-0.14
YOR144C	-0.2	-0.27	-0.38	-0.47	-	-0.23	-0.54	-0.1
YOR145C	-0.74	-1.6	-2.4	-1.74	-1.6	-0.81	-0.32	-0.29
YOR146W	-0.69	-1.47	-2.06	-1.89	-1.47	-0.92	-0.51	-0.4
YOR147W	-0.2	-0.32	-0.3	-0.36	-0.25	-0.58	-0.15	-0.09
YOR148C	-0.17	-0.17	-0.14	-0.01	-0.12	0.12	0.16	0.28
YOR149C	-0.29	-0.4	-0.64	-0.32	-0.15	0.06	0.21	0.4
YOR150W	0.33	0.53	0.85	0.7	0.54	0.42	0.29	0.1
YOR151C	-0.22	0.01	0.06	-0.01	0.26	-0.1	-0.01	-
YOR152C	1.01	0.76	0.79	0.85	0.77	0.69	0.5	0.89
YOR153W	0.99	0.42	0.33	0.14	0.07	0.06	-0.18	0.31
YOR154W	-0.74	-0.97	-0.92	-0.51	-0.54	-0.45	-0.3	-0.18
YOR155C	0.14	0.85	1.04	1.04	1.32	1.04	0.98	0.29
YOR156C	0.21	0.12	0.14	0.28	0.34	0.12	0.14	0.07
YOR157C	0.49	1.13	1.3	1.32	1.43	1.47	1.24	0.7
YOR158W	0.26	0.8	1.16	0.86	0.83	0.41	0.04	-0.04
YOR159C	0.14	0.46	0.19	-0.06	-0.17	0.18	-0.15	-0.27
YOR160W	-0.09	-0.34	-0.14	-0.23	0.04	-0.3	-0.4	-0.18
YOR161C	1.08	2.1	2.79	2.73	2.3	1.61	0.25	0.33
YOR162C	0.61	0.51	0.98	0.9	1.06	0.57	0.23	0.29
YOR163W	0.24	0.63	0.51	0.43	0.42	0.56	0.36	0.26
YOR164C	0.33	0.24	0.24	0.08	0.01	-0.09	-0.01	0.28
YOR165W	-0.34	-0.58	-0.4	-0.42	-0.2	-0.14	-0.14	0.04
YOR166C	-0.1	-0.3	-0.43	-0.51	-0.64	-0.36	-0.17	-0.1
YOR167C	0.68	0.64	-0.18	-0.56	-0.84	-0.56	-0.43	-0.49
YOR168W	-0.07	-0.54	-0.89	-1.15	-0.89	-0.74	-0.58	-0.42
YOR169C	0.03	-0.07	-0.76	-0.89	-0.67	-0.58	-0.27	-0.34
YOR170W	0.06	0.16	0.24	0.07	-0.34	-0.12	-0.3	-0.2
YOR171C	0.04	-	0.06	0.14	0.06	-0.27	-0.15	-0.1
YOR172W	0.13	-0.16	0.1	0.01	-0.07	-0.09	0.34	0.1
YOR173W	0.64	1.65	2.1	1.61	1.53	3.01	1.04	1.37
YOR174W	-0.11	0.02	-0.07	-0.1	-0.09	-0.04	-0.04	0.07
YOR175C	-0.09	-0.14	-0.45	-0.58	-0.47	-	-0.34	-
YOR176W	0.4	0.59	0.61	0.55	0.58	0.56	0.69	0.43
YOR177C	-0.17	-0.12	0.48	-	0.26	-	0.11	-
YOR178C	0.5	0.96	1.54	1.21	-0.03	-0.49	-0.47	-0.4
YOR179C	-0.01	0.21	0.04	0.03	-0.2	-0.07	-0.07	-0.29
YOR180C	0.1	-0.04	-0.01	0.1	-0.25	-0.25	-0.4	-0.03
YOR181W	0.28	0.36	0.39	0.58	0.58	0.3	-0.23	-0.04
YOR182C	0.36	0.46	-0.17	-0.58	-0.71	-0.64	-0.6	-0.45
YOR183W	-0.2	-0.47	-0.49	-0.14	-0.64	-0.64	-0.64	-0.69
YOR184W	0.28	0.1	-0.29	-0.43	-0.27	-0.32	-0.07	-0.07
YOR185C	0.62	0.96	1.42	1.51	1.99	1.74	1.95	0.96
YOR186W	-0.04	0.07	0.41	0.38	-0.42	-0.2	-0.17	-0.51
YOR187W	0.29	0.99	1.04	1.16	1.05	0.52	0.14	-0.07
