ORF	         Acid 0m	        Acid 10m	        Acid 20m		Acid 40m	        Acid 60m	        Acid 80m		Acid 100m
YAR031W	           14.90	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR033W	          139.50	          262.20	          191.60	          166.90	          293.90	          182.30	          139.20
YAR035W	           91.20	            NULL	          165.00	          131.00	          131.30	          112.90	           95.80
YAR042W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR044W	           56.20	            NULL	          107.30	           90.10	          151.20	           73.20	           87.50
YAR047C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR050W	            NULL	            NULL	            NULL	            NULL	            NULL	           35.50	            NULL
YAR053W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR060C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR061W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR062W	            NULL	            NULL	            NULL	            NULL	           65.60	            NULL	            NULL
YAR064W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR066W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR068W	          213.30	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR069C	            NULL	            NULL	            NULL	            NULL	          105.60	           71.20	            NULL
YAR070C	            6.80	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YAR071W	         1700.25	          519.70	          696.20	         1203.80	         1187.20	          680.00	          736.70
YAR073W	          398.50	          562.10	          341.00	          238.60	          322.50	          237.80	          252.90
YAR075W	         1163.75	         1084.20	          900.40	          614.90	          710.60	          769.20	          747.00
YBL001C	         1130.50	         2244.80	         2198.00	         1700.40	         2286.00	         1334.40	         1582.20
YBL002W	         2903.15	         2752.80	         1992.40	         2540.20	         5128.50	         3345.10	         2913.60
YBL003C	         4926.00	         4273.20	         2612.40	         2778.30	         4894.50	         3238.00	         3097.60
YBL004W	          415.10	          159.90	          160.50	          161.80	          382.40	          475.70	          283.90
YBL005W	           86.20	          110.50	          122.00	          102.90	           74.20	           57.30	           95.80
YBL005W-A	           41.70	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL005W-B	         4618.90	         6926.10	         5443.00	         3203.20	         5354.00	         3682.20	         4059.00
YBL006C	         1153.40	         1144.10	          987.70	         1016.90	         1375.60	          759.30	         1040.60
YBL007C	          953.00	         1849.70	         1597.30	         1088.60	         1418.40	          941.70	         1232.80
YBL008W	           37.05	            NULL	           30.30	           61.90	          139.80	            9.70	           46.20
YBL009W	            NULL	            NULL	            NULL	           46.60	            NULL	            NULL	            NULL
YBL010C	            NULL	            NULL	            NULL	            NULL	           51.30	            NULL	            NULL
YBL011W	          267.30	          353.90	          357.30	          433.10	          436.60	          297.30	          273.60
YBL012C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL013W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL014C	          128.25	           96.40	           96.90	          128.50	          211.20	          118.80	          104.00
YBL015W	          157.00	          516.20	            NULL	          156.70	            NULL	            NULL	          168.10
YBL016W	          178.40	            NULL	            NULL	           95.20	            NULL	           29.60	          102.00
YBL017C	          816.80	         1278.20	         1073.50	          881.20	         1230.00	          864.40	          995.10
YBL018C	          472.65	            NULL	            NULL	          279.50	          416.70	          200.10	          306.60
YBL019W	           84.70	          156.40	          104.30	            NULL	           91.30	           43.50	           83.40
YBL020W	           89.15	            NULL	           77.70	          108.00	          168.40	          114.80	           71.00
YBL021C	          252.50	          346.90	          218.20	          277.00	          325.30	          194.20	          232.20
YBL022C	          560.85	         1239.40	         1323.60	         1050.10	         1381.30	          729.60	          858.60
YBL023C	           59.80	           71.70	           20.00	            NULL	           39.90	           47.40	           29.60
YBL024W	          367.55	          572.70	          271.50	          535.60	          379.60	          448.00	          376.90
YBL025W	          198.70	          276.30	          209.40	          238.60	          196.90	          156.50	          164.00
YBL026W	          881.65	         1327.60	         1014.30	          863.30	         1235.70	          777.10	          844.20
YBL027W	         7097.70	         9459.00	         5977.20	         5256.50	         7137.70	         4977.00	         6653.60
YBL028C	          645.70	          375.10	          246.30	          387.10	          562.20	          410.30	          441.00
YBL029W	           95.30	            NULL	            NULL	           82.40	          148.40	           71.20	            NULL
YBL030C	         3542.25	         6382.80	         5531.80	         4350.20	         5562.40	         4342.50	         5134.00
YBL031W	            NULL	            NULL	            NULL	            NULL	           31.40	            9.70	           21.30
YBL032W	          328.75	          442.10	          422.40	          341.00	          587.90	          346.80	          333.50
YBL033C	          398.35	          452.70	          583.70	          563.70	          559.40	          309.20	          439.00
YBL034C	          184.95	          230.50	          224.10	          169.50	          174.10	          180.30	          178.50
YBL035C	          201.85	          191.70	          219.70	          269.30	          313.90	          235.80	          207.40
YBL036C	          427.05	          519.70	          416.50	          335.90	          485.20	          497.50	          348.00
YBL037W	            NULL	            NULL	            NULL	            NULL	            NULL	           45.40	            NULL
YBL038W	          495.05	          794.90	          776.10	          707.10	          847.60	          513.40	          567.10
YBL039C	         1598.70	          819.60	          765.70	         1160.20	         1495.50	         1201.50	         1431.30
YBL040C	          655.30	          586.80	          557.10	          407.50	          639.30	          356.80	          441.00
YBL041W	          836.50	         1052.40	         1046.90	          940.10	         1230.00	          590.70	          689.10
YBL042C	          605.30	          272.80	          656.20	          758.30	          565.10	          241.70	          356.30
YBL043W	           41.70	            NULL	            NULL	           44.00	            NULL	          101.00	            NULL
YBL044W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL045C	          336.80	          805.50	          595.50	          533.00	          590.70	          372.60	          705.70
YBL046W	          172.20	          163.40	          163.50	          241.10	          254.00	          122.80	          178.50
YBL047C	          154.30	          639.70	          508.20	          320.50	          356.70	          285.40	          290.10
YBL048W	            NULL	           96.40	            NULL	            NULL	            NULL	            NULL	            NULL
YBL049W	           33.60	            NULL	            NULL	           15.80	          105.60	           57.30	           13.10
YBL050W	          605.70	          950.10	          819.00	          778.80	          722.00	          495.60	          560.90
YBL051C	          214.75	          301.00	          332.20	          346.10	          328.20	          216.00	          219.80
YBL052C	          157.05	           78.80	            NULL	           67.00	          185.50	           97.00	          147.50
YBL053W	          205.20	           92.90	            NULL	            NULL	            NULL	           87.10	            NULL
YBL054W	          552.45	          223.40	          144.20	          399.90	          476.60	          388.50	          389.30
YBL055C	          172.50	          152.90	          162.00	          166.90	          188.30	          106.90	          161.90
YBL056W	          235.35	          255.20	          302.60	          213.00	          239.70	          212.00	          248.80
YBL057C	          374.95	          339.80	          275.90	          341.00	          533.70	          249.70	          393.50
YBL058W	         1136.45	         1454.60	         1317.60	         1613.40	         1686.70	          773.20	         1152.20
YBL059W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL060W	          113.30	          152.90	            NULL	           64.50	           85.60	           63.30	           97.80
YBL061C	          470.00	          428.00	          437.20	          425.50	          545.10	          406.30	          393.50
YBL062W	          103.40	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL063W	           28.00	           57.60	           21.40	           54.20	           74.20	            NULL	           23.40
YBL064C	          191.00	         1144.10	          924.00	          632.80	          770.50	          446.00	          498.90
YBL065W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL066C	            NULL	           29.40	           51.00	           15.80	            NULL	            NULL	            8.90
YBL067C	          114.40	          142.30	          125.00	           90.10	           85.60	           57.30	           79.20
YBL068W	         1010.65	          911.30	          807.10	          781.30	         1230.00	          848.50	          939.30
YBL069W	           90.90	          237.50	          225.60	          166.90	          196.90	          138.60	          102.00
YBL070C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL071C	           51.40	           36.40	           28.80	           15.80	            NULL	            NULL	           27.60
YBL072C	        19988.00	        25915.70	        16259.50	        17862.70	        23453.80	        20461.90	        20639.50
YBL073W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL074C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL075C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL076C	         1911.45	         2297.70	         1875.50	         1703.00	         2052.00	         1945.10	         1462.30
YBL077W	           99.20	          184.60	           62.90	           36.30	           82.70	           83.10	           62.70
YBL078C	           59.45	          234.00	          265.60	          174.60	          239.70	          118.80	           91.60
YBL079W	          145.15	            NULL	            NULL	            NULL	            NULL	           79.10	            NULL
YBL080C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL081W	          359.00	          258.70	          258.20	          302.60	          339.60	          253.60	          269.40
YBL082C	          183.90	            NULL	            NULL	          141.30	          156.90	          124.80	          153.70
YBL083C	          205.55	          177.60	          188.60	          169.50	          313.90	          124.80	          261.20
YBL084C	          112.90	          163.40	          128.00	          105.40	          202.60	            NULL	          133.00
YBL085W	          457.10	          660.80	          419.50	          451.10	          633.60	          420.20	          513.40
YBL086C	          150.10	          191.70	          188.60	          123.40	          179.80	          138.60	          151.60
YBL087C	        22073.40	        21410.80	        15247.40	        12839.70	        16906.90	        13953.80	        13331.30
YBL088C	           84.15	          149.30	          162.00	          108.00	          202.60	          132.70	          122.70
YBL089W	           79.35	           68.20	          110.20	           36.30	           85.60	           37.50	           50.30
YBL090W	          204.25	          413.90	          301.10	          282.10	          362.40	          223.90	          219.80
YBL091C	         1496.85	         1870.90	         1726.00	         1367.60	         1558.20	         1266.90	         1193.60
YBL091C-A	          450.55	          616.40	          440.90	          691.10	            NULL	            NULL	            NULL
YBL092W	        13270.15	        16535.50	        11444.60	        10036.30	        13259.50	        10277.40	        11671.10
YBL093C	          482.05	          406.90	          438.70	          556.00	          767.70	          352.80	          472.00
YBL094C	          129.30	           75.20	           91.00	           64.50	          117.00	           23.60	           89.60
YBL095W	            NULL	            NULL	            NULL	           49.10	            NULL	            NULL	           60.60
YBL096C	          240.85	          272.80	          234.50	          213.00	          285.40	          180.30	          269.40
YBL097W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL098W	           39.00	            NULL	            NULL	           79.80	            5.70	           29.60	           37.90
YBL099W	          491.00	         1345.20	          922.60	          725.00	          853.30	          749.40	          796.60
YBL100C	           17.10	            NULL	            NULL	            NULL	            NULL	            NULL	            2.70
YBL101C	          274.70	          643.20	          480.10	          320.50	          371.00	          265.50	          300.40
YBL101W-A	          102.55	          149.30	          119.10	          118.20	            NULL	           91.00	          106.10
YBL101W-B	          129.65	          163.40	           83.60	          123.40	          105.60	           61.30	           91.60
YBL102W	          561.30	          459.80	          533.40	          399.90	          439.50	          257.60	          422.40
YBL103C	           56.95	            NULL	           58.40	           21.00	            NULL	            NULL	           37.90
YBL104C	          130.50	           92.90	           62.90	           49.10	          256.80	           85.10	          102.00
YBL105C	          114.35	          191.70	          150.20	          218.10	          125.60	          122.80	          153.70
YBL106C	           80.55	           47.00	            NULL	            NULL	           79.90	           39.50	           37.90
YBL107C	          109.30	          234.00	          200.50	          161.80	          245.40	          101.00	          122.70
YBL108W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBL109W	          981.35	         1233.80	         1005.40	          869.40	            NULL	            NULL	            NULL
YBL111C	          186.50	            NULL	          163.50	            NULL	            NULL	            NULL	            NULL
YBL112C	          365.60	          569.10	          706.50	          640.50	          642.10	          584.80	          589.90
YBL113C	         2078.35	         2728.10	         2499.90	         2355.80	         2791.20	         1697.20	         2171.40
YBR001C	          176.25	          286.90	          277.40	          243.70	          325.30	          160.40	          205.30
YBR002C	          283.90	          304.50	          271.50	          251.40	          291.10	          178.30	          188.80
YBR003W	          118.25	          255.20	          275.90	          166.90	          222.60	          116.80	          139.20
YBR004C	          188.05	          135.20	          156.10	          182.30	          168.40	          162.40	           97.80
YBR005W	           93.95	          301.00	          193.10	          256.50	          276.80	          212.00	          168.10
YBR006W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR007C	          101.10	          124.60	           83.60	          154.10	          239.70	           75.20	          159.90
YBR008C	          497.40	          657.30	          591.10	          604.70	          633.60	          459.90	          474.10
YBR009C	         5477.35	         6598.00	         3881.90	         3996.90	         8088.10	         5296.30	         5349.00
YBR010W	        16584.90	        14859.90	         9038.60	        16255.00	        21670.10	        14687.50	        14125.10
YBR011C	         3388.00	         5017.60	         3799.10	         2765.50	         3952.70	         3081.30	         3149.30
YBR012C	           70.90	            NULL	            NULL	            NULL	           85.60	            NULL	            NULL
YBR012W-A	         1807.95	         2128.40	         2252.80	         2417.30	         1304.20	         2306.00	         1452.00
YBR012W-B	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR013C	           36.30	            NULL	          110.20	            NULL	            NULL	           37.50	           52.40
YBR014C	          676.40	          837.20	          940.30	          819.70	         1230.00	          634.40	          831.80
YBR015C	          137.30	          167.00	          157.60	          166.90	          188.30	          160.40	          139.20
YBR016W	         1516.45	         1796.80	         1428.60	         1700.40	         2169.00	         1528.70	         1656.70
YBR017C	          124.35	          167.00	           83.60	           74.70	          176.90	           71.20	           89.60
YBR018C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR019C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YBR020W	           49.80	           82.30	           34.70	           36.30	           88.50	           79.10	           52.40
YBR021W	          196.75	          223.40	          247.80	          195.10	          211.20	            NULL	          155.70
YBR022W	          100.60	          110.50	            NULL	          108.00	          159.80	            NULL	           81.30
