ORF	       Alkali 0m	      Alkali 10m	      Alkali 20m	      Alkali 40m	      Alkali 60m	      Alkali 80m	     Alkali 100m
YCR015C	            NULL	            NULL	            NULL	            NULL	            NULL	           72.80	           59.50
YCR016W	          263.95	          277.50	          125.80	          221.60	          164.30	          236.60	          220.30
YCR017C	          634.95	          566.80	          536.00	          551.50	          623.50	          562.20	          692.50
YCR018C	          227.30	          308.50	          209.40	          128.00	          290.40	          258.30	          230.20
YCR018C-A	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YCR019W	           55.10	          176.30	          106.90	           85.60	            NULL	           80.70	           92.70
YCR020C	           84.80	          145.30	           82.60	           79.10	           89.90	           60.90	           84.40
YCR020C-A	          226.75	          318.90	          282.30	          426.30	          406.80	          358.90	          376.00
YCR020W-B	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YCR021C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YCR022C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YCR023C	          339.85	          436.60	          255.30	          219.50	          296.90	          301.70	          319.70
YCR024C	            NULL	          135.00	           47.50	           44.20	            NULL	           82.60	           57.90
YCR024C-A	         4948.90	         3916.10	         4503.70	         3910.60	         3808.60	         4138.40	         4568.10
YCR025C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YCR026C	          197.90	          161.80	          187.80	          172.70	          190.20	          234.60	          231.90
YCR027C	           29.30	            NULL	            NULL	          108.40	          119.00	            NULL	            NULL
YCR028C	           47.80	          135.00	          128.50	          172.70	          148.10	          126.00	          190.40
YCR028C-A	          280.10	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YCR030C	           87.30	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YCR031C	        11010.15	        13178.90	        10252.90	         8121.90	         6893.50	         9990.10	        10519.80
YCR032W	           40.30	           73.00	            NULL	            NULL	            NULL	            NULL	           36.30
YCR033W	          161.85	          279.60	          190.50	          196.60	          206.40	          171.40	          230.20
YCR034W	         1066.60	          331.30	          446.90	          487.20	          439.20	          607.60	          783.60
YCR035C	          734.40	          820.90	          635.90	          665.80	          639.70	          560.20	          679.20
YCR036W	          105.90	          256.90	          120.40	           60.50	            NULL	          104.30	          145.70
YCR037C	          281.90	          484.20	          376.80	            NULL	            NULL	          256.30	          434.00
YCR038C	           28.30	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YCR039C	          783.85	         1395.30	          760.00	          623.30	          794.90	          735.90	          775.30
YCR040W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YCR041W	           20.40	           42.00	            NULL	           15.90	           38.20	           19.50	           19.80
YCR042C	          250.05	          420.10	          239.10	          157.40	          322.80	          274.10	          216.90
YCR043C	          297.85	          413.90	          236.40	          222.70	          148.10	          189.20	          236.80
YCR044C	          254.65	          360.20	          201.30	          263.00	          264.60	          252.40	          197.10
YCR045C	           49.80	            NULL	           58.30	            NULL	            NULL	            NULL	            NULL
YCR046C	          152.50	          411.80	          209.40	          177.00	          232.20	          264.20	          192.10
YCR047C	          586.65	          250.70	          247.20	          349.00	          374.50	          451.70	          443.90
YCR048W	          417.75	          209.30	          247.20	          236.90	          267.80	          455.60	          395.90
YCR049C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YCR050C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YCR051W	         1268.35	          399.40	          446.90	          384.90	          542.70	         1596.40	          614.60
YCR052W	          194.15	          300.30	          158.10	          177.00	          183.70	          208.90	          183.80
YCR053W	         2913.20	         2370.60	         2854.60	         3073.50	         2754.50	         2697.60	         3363.50
YCR054C	           42.30	          112.20	          112.30	           14.80	           51.10	           13.60	           26.40
YCR057C	          142.05	          166.00	           98.80	           93.20	          102.90	           86.60	           84.40
YCR059C	          278.65	          232.10	          128.50	          193.30	          222.50	          191.20	          265.00
YCR060W	          309.40	          184.60	           55.60	           87.80	          144.90	          205.00	          241.80
YCR061W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YCR062W	           61.90	          203.10	          112.30	           67.10	           80.20	           78.70	          165.60
YCR063W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YCR064C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	           92.70
YCR065W	          177.80	            NULL	          150.00	          123.70	          144.90	          161.60	          309.70
YCR066W	           59.80	          110.20	           61.00	           58.40	           99.60	           43.20	           66.20
YCR067C	          379.10	          639.10	          490.10	          349.00	          332.50	          416.20	          429.00
YCR068W	            NULL	            NULL	           55.60	            NULL	            NULL	            NULL	            NULL
YCR069W	          260.80	          703.20	          509.00	          604.80	          555.60	          416.20	          541.70
YCR071C	          155.80	          424.20	          241.80	          192.30	          267.80	          163.50	          185.50
YCR072C	          335.70	          289.90	          212.10	          261.90	          448.90	          289.90	          323.00
YCR073C	           65.80	            NULL	            NULL	            NULL	          109.30	          185.30	            NULL
YCR073W-A	         1841.15	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YCR075C	          191.05	            NULL	          125.80	           66.00	          225.80	            NULL	          175.50
YCR076C	          387.75	          438.70	          303.90	          180.30	          303.40	          285.90	          318.00
YCR077C	          494.00	          750.70	          519.80	          383.80	          442.40	          315.50	          367.70
YCR079W	          266.80	          595.70	          341.70	          488.30	          520.00	          386.60	          472.10
YCR081W	           48.40	           73.00	            NULL	           62.70	          122.30	            NULL	           28.10
YCR082W	          851.90	         1409.80	          854.50	          728.90	          959.80	          984.60	         1361.90
YCR083W	          246.00	          585.40	          309.30	          182.50	          219.30	          210.90	          213.60
YCR084C	          353.20	          469.70	          511.70	          428.50	          332.50	          378.70	          501.90
YCR085W	            NULL	            NULL	            NULL	           47.50	            NULL	           45.10	           79.40
YCR086W	           71.60	            NULL	            NULL	           93.20	            NULL	          116.20	          109.20
YCR087C-A	          221.00	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YCR087W	          287.00	          343.70	            NULL	          128.00	            NULL	          216.80	          251.70
YCR088W	          258.75	          606.10	          606.20	          593.90	          435.90	          392.50	          614.60
YCR089W	           73.80	           73.00	            NULL	            NULL	            NULL	            NULL	          109.20
YCR090C	          456.05	          639.10	          295.80	          198.80	          322.80	          295.80	          351.20
YCR091W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YCR092C	           74.40	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YCR093W	          165.30	          184.60	           82.60	           75.80	          122.30	          104.30	           72.80
YCR094W	           53.10	          114.30	           66.40	           84.50	           80.20	           39.20	           31.40
YCR095C	          109.35	          112.20	          106.90	          144.40	            NULL	           53.00	           82.70
YCR096C	          706.00	          916.00	          517.10	          354.40	          355.10	          479.30	          379.30
YCR097W	           96.80	          393.20	          152.70	          113.90	           80.20	          108.30	          152.30
YCR098C	           30.20	           99.80	           31.30	            NULL	            NULL	            5.70	           39.70
YCR099C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YCR100C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YCR101C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YCR102C	          152.05	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YCR102W-A	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YCR103C	            NULL	            NULL	           69.10	            NULL	            NULL	            NULL	           13.10
YCR104W	          931.70	         2058.60	         2409.20	          414.30	         1787.60	         1426.60	         1585.60
YCR105W	           78.80	          238.30	          115.00	           95.40	          125.50	           94.50	          105.90
YCR106W	            NULL	           42.00	            NULL	           15.90	           35.00	            NULL	           28.10
YCR107W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDL001W	          133.10	          217.60	          147.30	          124.80	          238.70	          151.70	          163.90
YDL002C	            NULL	          362.20	          279.60	          281.50	          238.70	          208.90	          218.60
YDL003W	          301.80	          182.50	          158.10	          252.10	          474.70	          540.50	          720.70
YDL004W	          735.30	         1296.20	          649.40	          943.30	          898.40	          887.90	         1131.60
YDL005C	          278.20	          438.70	          314.70	          290.20	          316.30	          276.00	          443.90
YDL006W	          187.15	          219.70	           47.50	           89.90	          138.40	          120.10	          202.00
YDL007W	          999.05	         2182.60	         1777.60	         1095.70	         1008.30	         1505.60	         1641.90
YDL008W	          541.40	          800.30	          595.40	          498.10	          474.70	          639.20	          581.50
YDL009C	          279.50	          740.40	          552.20	          307.60	          432.70	          676.70	          657.70
YDL010W	          189.20	          385.00	          301.20	          183.50	            NULL	          264.20	          225.20
YDL011C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDL012C	         1352.05	         2029.70	         1556.30	         1133.80	         1257.30	         1479.90	         1873.90
YDL013W	           65.40	            NULL	            NULL	           48.60	          115.80	           43.20	           36.30
YDL014W	         4519.10	         1248.60	         1113.60	         1413.50	         1558.00	         2125.30	         2392.50
YDL015C	         1415.35	         1945.00	         1513.10	         1490.80	         1419.00	         1426.60	         1380.10
YDL016C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDL017W	           51.65	          155.60	           77.20	           87.80	          122.30	           66.80	          127.50
YDL018C	          125.80	          155.60	          101.50	           41.00	            9.10	          100.40	          124.20
YDL019C	          179.55	          277.50	            NULL	           37.70	            NULL	            NULL	           49.60
YDL020C	          106.50	            NULL	            NULL	            NULL	            NULL	           88.50	            NULL
YDL021W	            NULL	          382.90	          228.30	           88.80	           86.70	          163.50	          150.70
YDL022W	         2123.00	         8129.10	         3138.00	         3089.80	         3035.80	         4499.50	         5303.80
YDL023C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDL024C	           14.90	            NULL	            NULL	           37.70	            NULL	            NULL	            NULL
YDL025C	           41.10	          199.00	            NULL	           42.00	            NULL	            NULL	            0.00
YDL026W	            NULL	            NULL	            NULL	            NULL	            NULL	           21.40	           81.10
YDL027C	            NULL	          184.60	          117.70	           63.80	            NULL	           39.20	           81.10
YDL028C	           65.00	            NULL	           52.90	           32.20	            NULL	           92.50	           33.00
YDL029W	         1296.80	         2752.80	         2023.20	         1633.40	         1580.60	         1722.70	         2356.10
YDL030W	           77.40	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDL031W	          557.55	          285.80	          206.70	          230.40	          313.10	          307.60	          328.00
YDL032W	            NULL	            NULL	            NULL	            0.00	            NULL	            0.00	            0.00
YDL033C	          111.40	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDL034W	           65.80	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDL035C	          101.65	          273.40	          131.20	          122.60	          219.30	          145.80	          137.40
YDL036C	          142.50	          139.10	            NULL	           89.90	          106.10	          133.90	          145.70
YDL037C	           52.00	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDL038C	          356.40	          279.60	          225.60	          210.80	          229.00	          159.60	            NULL
YDL039C	          797.70	          990.40	          266.10	          199.90	          135.20	          317.50	          170.50
YDL040C	          535.00	          870.50	          762.70	          611.30	          869.20	          548.40	          601.40
YDL041W	           95.60	          246.50	          150.00	          122.60	          216.10	          141.80	          165.60
YDL042C	          336.85	          389.10	          258.00	          220.60	          235.50	          287.90	          170.50
YDL043C	          124.15	          128.80	           88.00	          113.90	            NULL	          128.00	           39.70
YDL044C	           73.60	            NULL	          112.30	           71.40	            NULL	           60.90	           92.70
YDL045C	          140.70	          128.80	          117.70	          106.30	           80.20	           64.90	           52.90
YDL045W-A	          716.10	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDL046W	          833.10	         1969.80	         1367.40	          991.20	          749.60	          763.50	          969.20
YDL047W	          228.75	          242.40	          220.20	          238.00	          119.00	          155.60	          193.70
YDL048C	           98.20	          145.30	            NULL	            NULL	            NULL	           53.00	           56.20
YDL049C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDL050C	          122.25	           99.80	            NULL	          156.30	            NULL	          203.00	           99.30
YDL051W	         1283.20	          527.50	          536.00	          674.50	          714.00	          806.90	         1115.00
YDL052C	          576.50	          666.00	          422.70	          330.50	          410.10	          451.70	          637.80
YDL053C	          503.85	         1118.50	          695.30	          456.80	          490.90	          591.80	          667.60
YDL054C	           72.65	          225.90	          150.00	           84.50	           99.60	           88.50	           86.00
YDL055C	         2826.95	         1577.20	         2522.60	         2043.80	         1357.50	         1448.40	         2322.90
YDL056W	          150.45	          114.30	           96.10	          104.10	          128.70	          128.00	          147.40
YDL057W	            NULL	            NULL	            NULL	           64.90	            NULL	          161.60	            NULL
YDL058W	          187.20	          271.30	          152.70	           81.20	          109.30	          147.80	          165.60
YDL059C	            NULL	            NULL	            NULL	           88.80	            NULL	            NULL	            NULL
YDL060W	          659.30	            NULL	          187.80	           96.50	          254.90	          195.10	          215.30
YDL061C	         6681.30	         7387.30	         7626.60	         5552.00	         5771.40	         6342.90	         8304.50
YDL062W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDL063C	            NULL	            NULL	           20.50	            NULL	            NULL	            NULL	            NULL
YDL064W	          903.75	         1056.50	          606.20	          491.60	          623.50	          524.70	          616.30
YDL065C	          192.45	          120.50	          144.60	          113.90	          154.60	          104.30	          127.50
YDL066W	          654.40	          787.90	         1062.40	          995.60	          872.50	         1026.00	         1350.30
YDL067C	          999.70	         1232.10	          581.90	          554.70	          503.80	          826.70	          889.70
YDL068W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDL069C	           24.90	          114.30	          112.30	           78.00	          109.30	           43.20	            NULL
YDL070W	            NULL	          242.40	          150.00	            NULL	           44.70	          102.40	          139.10
YDL071C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDL072C	         1414.35	         2759.00	         1456.40	         1450.60	         1816.70	         2227.90	         1680.00
YDL073W	           36.30	          128.80	           61.00	           63.80	          154.60	           86.60	          101.00
YDL074C	          326.60	          221.70	          217.50	          189.00	          258.10	          203.00	          255.10
YDL075W	        15600.85	        10226.30	        10063.90	         6967.00	         8332.50	         7860.60	        10765.10
YDL076C	          279.05	          504.80	          325.50	          271.70	          245.20	          282.00	          377.70
YDL077C	           41.45	          108.10	           79.90	           18.10	            NULL	           96.40	           56.20
YDL078C	          763.55	         1108.10	          884.20	          601.50	          520.00	          508.90	          629.50
YDL079C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDL080C	          175.00	          225.90	          179.70	           82.30	          199.90	           90.50	          168.90
YDL081C	        13720.45	         8494.80	         6582.10	         5472.50	         6612.20	         6467.20	         6763.50
YDL082W	         6672.95	         3370.60	         3186.60	         2768.70	         2890.30	         3970.60	         4718.90
YDL083C	         9135.95	         6914.20	         6684.60	         4467.90	         4678.50	         6038.90	         6743.70
YDL084W	         1875.10	         1108.10	         1038.10	         1411.40	          888.60	          984.60	         1240.90
YDL085W	            NULL	          124.60	            NULL	            NULL	            NULL	            NULL	            NULL
YDL086W	          250.25	          362.20	          371.40	          240.20	          170.80	          228.70	          357.80
YDL087C	            NULL	            NULL	          150.00	            NULL	            NULL	            NULL	            NULL
YDL088C	          168.80	          368.40	          217.50	          279.30	            NULL	          173.40	          208.70
YDL089W	           58.50	          151.50	           71.80	           47.50	            NULL	           39.20	           47.90
YDL090C	          148.10	            NULL	          136.50	          131.30	          219.30	          104.30	           56.20
YDL091C	           64.85	           91.60	            NULL	           36.60	           83.50	           47.10	            NULL
YDL092W	          393.60	          812.70	          425.40	          353.40	          426.20	          457.60	          440.60
YDL093W	          276.25	          275.50	          174.30	          150.90	          170.80	          282.00	          314.70
YDL094C	           25.80	            NULL	           52.90	            NULL	           47.90	            1.70	            NULL
YDL095W	         1231.75	         1029.60	         1318.80	         1112.00	          859.50	         1106.90	         1423.20
YDL096C	            NULL	          130.80	          131.20	          106.30	            NULL	           88.50	           89.40
YDL097C	          498.10	          624.70	          611.60	          417.60	          484.40	          465.50	          593.10
YDL098C	          107.85	          225.90	          168.90	           89.90	            NULL	          120.10	          137.40
YDL099W	          291.15	          436.60	          330.90	          241.20	          329.20	          287.90	          397.60
YDL100C	         1501.75	         1205.30	         1132.50	         1082.60	          820.70	          724.00	         1164.70
YDL101C	          147.90	            NULL	            NULL	           70.30	            NULL	          153.70	          208.70
YDL102W	          181.80	          112.20	          123.10	           98.60	           93.20	          112.20	          134.10
YDL103C	          367.95	          444.90	          371.40	          313.10	          280.70	          390.50	          415.80
YDL104C	            NULL	            NULL	           74.50	           44.20	            NULL	            NULL	           34.70
YDL105W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDL106C	          113.30	          139.10	            NULL	           97.60	            NULL	           51.00	           87.70
YDL107W	           41.10	           85.40	           20.50	           21.40	            NULL	           23.40	           34.70
YDL108W	           99.80	            NULL	           82.60	           52.90	           73.80	            NULL	           41.30
YDL109C	           94.05	          339.50	          279.60	          235.80	          229.00	          197.10	          303.10
YDL110C	          176.00	         1037.90	          312.00	          266.30	          319.50	          335.20	          374.40
YDL111C	          594.55	          657.70	          330.90	          416.50	          374.50	          394.50	          513.50
YDL112W	          910.55	          546.10	          309.30	          374.00	          626.70	          619.40	          586.40
YDL113C	            NULL	          126.70	            NULL	           87.80	            NULL	           60.90	           67.80
YDL114W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDL115C	          138.20	          261.00	           98.80	           33.30	          193.40	          116.20	            NULL
YDL116W	          326.70	          595.70	          295.80	          340.30	          348.60	          358.90	          288.20
YDL117W	          225.00	          217.60	          152.70	          112.80	          122.30	          183.30	          167.20
YDL118W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDL119C	            NULL	            NULL	            NULL	            6.10	            NULL	            NULL	            NULL
YDL120W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDL121C	          580.20	          325.10	          258.00	          347.90	          432.70	          410.20	          405.80
YDL122W	          768.95	          515.10	          471.20	          475.30	          403.60	          556.30	          647.70
YDL123W	           88.55	           56.40	           42.10	          133.50	          125.50	           82.60	          152.30
YDL124W	          765.90	         4645.50	         3453.80	         1835.90	         1069.70	          824.70	         1400.00
YDL125C	         2470.85	         3215.70	         2482.10	         1389.60	         1952.50	         2581.20	         2742.10
YDL126C	         2590.40	         5434.80	         4034.10	         2686.00	         2385.80	         2640.40	         3081.80
YDL127W	          141.40	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDL128W	          614.30	         1104.00	          830.20	          571.10	          513.50	          605.60	          727.30
YDL129W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDL130W	        31294.55	        20658.50	        19451.50	        12859.10	        23278.30	        22656.60	        20196.40
YDL130W-A	         1912.60	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDL131W	          920.45	          913.90	         1016.50	          604.80	          675.20	          812.90	         1002.30
YDL132W	          570.55	          942.80	          363.30	          167.20	          445.60	          562.20	          591.40
YDL133W	          290.95	          287.90	          301.20	          278.20	          132.00	          256.30	          463.80
YDL134C	          403.40	          841.60	          484.70	          259.70	          303.40	          325.40	          429.00
YDL135C	          595.50	         1451.10	         1100.10	          730.00	          500.60	          599.70	          765.40
YDL136W	        12892.25	         6581.50	         5127.20	         3883.30	         5635.60	         4837.00	         5688.20
YDL137W	         2674.80	         5845.90	         4455.20	         3942.10	         5027.70	         4481.80	         4863.00
YDL138W	          109.55	          190.80	          115.00	           93.20	           64.10	          130.00	          173.90
YDL139C	           90.00	            NULL	            NULL	           35.50	           18.80	           72.80	           28.10
YDL140C	         1762.60	         1447.00	         1893.70	         1003.20	          788.40	         1882.50	         1449.70
YDL141W	          173.20	          219.70	          155.40	          195.50	            NULL	          147.80	          122.50
YDL142C	          176.05	          122.60	          168.90	          126.90	           54.40	          126.00	          102.60
YDL143W	          826.20	          715.60	          819.40	          644.00	          639.70	          761.50	          830.00
YDL144C	          412.35	          717.60	          460.40	          314.20	          381.00	          360.90	          457.20
YDL145C	          753.60	          380.80	          393.00	          212.90	          335.70	          362.90	          402.50
YDL146W	            NULL	          106.00	            NULL	            0.00	            NULL	            0.00	           46.30
YDL147W	         1138.00	         1506.90	          935.50	          764.80	          594.40	          846.40	          957.60
YDL148C	          316.35	           37.90	           82.60	          206.40	            NULL	          201.00	          125.80
YDL149W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDL150W	          191.30	           52.30	           77.20	           22.50	           57.60	          135.90	           82.70
YDL151C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDL152W	            NULL	            NULL	            NULL	           20.30	           64.10	            NULL	            NULL
YDL153C	         1254.00	          494.50	          444.30	          751.70	          820.70	          645.10	          758.80
YDL154W	           19.20	           48.20	            NULL	           18.10	           44.70	           31.30	            NULL
YDL155W	          197.20	           99.80	          112.30	          107.40	          141.70	          135.90	          168.90
YDL156W	          118.95	            NULL	          147.30	           54.00	          132.00	          118.20	          112.60
YDL157C	         1090.30	         1021.40	          878.80	         1192.60	         1528.90	         1448.40	         1817.60
YDL158C	          330.50	          325.10	          120.40	           71.40	          138.40	          195.10	          212.00
YDL159W	           56.80	          170.10	          139.20	          142.20	          102.90	          122.10	          134.10
YDL160C	          196.30	          176.30	          376.80	          314.20	          187.00	          244.50	          308.10
YDL161W	          395.75	          719.70	          500.90	          233.60	          206.40	          374.70	          361.10
YDL162C	            1.80	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDL163W	            NULL	          120.50	            NULL	           51.80	            NULL	           45.10	           57.90
YDL164C	          273.65	          273.40	          241.80	          178.10	          164.30	          226.70	          293.20
YDL165W	          645.35	          711.40	          379.50	          371.90	          410.10	          578.00	          528.40
YDL166C	          508.05	          124.60	          125.80	          120.40	          144.90	          207.00	          152.30
YDL167C	           84.20	            6.90	            NULL	           11.60	            NULL	            NULL	           33.00
YDL168W	          518.95	          418.00	          403.80	          392.50	          338.90	          285.90	          309.70
YDL169C	            NULL	          116.40	            NULL	            NULL	            NULL	            NULL	            NULL
YDL170W	           60.40	            NULL	           79.90	           30.10	           89.90	           55.00	           49.60
YDL171C	         1325.55	          430.40	          495.50	          467.60	          633.20	          787.20	         1345.30
YDL172C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDL173W	          606.60	          882.90	          876.10	          770.20	          820.70	         1152.30	         1303.90
YDL174C	          459.95	         4438.90	         3645.40	         2019.80	         1722.90	         1389.10	         1371.80
YDL175C	          151.15	           52.30	           82.60	           58.40	           99.60	           49.10	           74.40
YDL176W	           52.00	           42.00	            NULL	           15.90	            NULL	            NULL	            NULL
YDL177C	          141.10	          347.80	          117.70	          158.50	          132.00	          151.70	          107.60
YDL178W	          116.80	          533.70	          387.60	          269.50	          280.70	          268.10	          260.00
YDL179W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDL180W	          119.60	          116.40	            NULL	           51.80	           35.00	           21.40	           74.40
YDL181W	          108.65	          556.50	          279.60	           71.40	            NULL	            NULL	          102.60
YDL182W	         2366.65	         3137.20	         3075.90	         1614.90	         2220.90	         1898.30	         2387.50
YDL183C	           17.10	            NULL	            NULL	            7.20	            NULL	            NULL	           44.60
YDL184C	         5790.00	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDL185W	         2481.40	         3577.30	         3030.00	         2626.10	         2557.20	         2666.10	         3506.00
YDL186W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDL187C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDL188C	          782.25	          804.40	          573.80	          430.60	          594.40	          649.00	          641.10
YDL189W	          265.70	          178.40	           90.70	          125.90	          112.60	          132.00	          165.60
YDL190C	          426.95	          628.80	          500.90	          297.80	          335.70	          459.60	          500.30
YDL191W	        15916.65	         8360.50	         6973.40	         5185.20	         5480.40	         7450.10	         7308.70
YDL192W	         9752.85	         7186.90	         7575.30	         7181.50	         7608.10	         9514.40	         8233.20
YDL193W	          158.40	          161.80	          168.90	          203.10	          167.60	          141.80	          207.00
YDL194W	           93.40	            NULL	            NULL	           62.70	            NULL	            NULL	            NULL
YDL195W	         1290.00	         1316.80	         1510.40	          854.10	         1060.00	         1114.80	          975.80
YDL196W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDL197C	           94.55	           83.30	            NULL	            NULL	            NULL	           31.30	           99.30
YDL198C	          714.00	         1337.50	          563.00	          669.00	          788.40	          735.90	          974.20
YDL199C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDL200C	          220.15	          663.90	          433.50	          267.40	          319.50	          297.70	          329.60
YDL201W	          460.35	          178.40	          228.30	          306.50	          245.20	          366.80	          261.70
YDL202W	          197.60	          192.80	          144.60	          158.50	          157.80	          153.70	          117.50
YDL203C	           33.25	            NULL	            NULL	            5.00	            NULL	            3.70	            NULL
YDL204W	            NULL	           68.80	           52.90	            0.00	            NULL	            NULL	            NULL
YDL205C	          135.45	           75.00	          101.50	           21.40	            NULL	           13.60	            NULL
YDL206W	           41.10	           81.20	            NULL	           48.60	            NULL	           13.60	            NULL
YDL207W	          122.70	          215.50	          168.90	          137.80	            NULL	          171.40	          195.40
YDL208W	         3997.50	         3170.20	         2892.40	         2801.40	         3362.40	         3114.10	         3302.20
YDL209C	           78.90	           13.10	           42.10	           85.60	           57.60	          112.20	           51.20
YDL210W	          151.25	          242.40	          187.80	            NULL	            NULL	          132.00	          152.30
YDL211C	           12.20	            NULL	            NULL	            0.00	            NULL	            NULL	           21.40
YDL212W	         1545.85	          975.90	          951.70	         1348.20	         1092.40	         1363.50	         1409.90
YDL213C	          608.55	          283.70	          285.00	          361.00	          306.60	          402.30	          405.80
YDL214C	            NULL	          194.90	           90.70	           41.00	            NULL	           94.50	           77.80
YDL215C	          256.60	         1066.80	          681.80	          334.80	          271.00	          313.50	          359.40
YDL216C	           37.85	           87.40	           69.10	           56.20	            NULL	           13.60	           57.90
YDL217C	            NULL	          248.60	          182.40	          219.50	          157.80	          100.40	            NULL
YDL218W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDL219W	          535.10	          438.70	          498.20	          326.10	          316.30	          451.70	          523.50
YDL220C	          106.00	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDL221W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDL222C	            NULL	          500.70	          131.20	            NULL	            NULL	            NULL	            NULL
YDL223C	           55.10	         1035.80	          603.50	          154.20	          225.80	          116.20	          120.80
YDL224C	          184.55	          236.20	          220.20	          228.20	          413.30	          141.80	          246.80
YDL225W	          227.80	          292.00	          236.40	          185.70	          232.20	          258.30	          213.60
YDL226C	          564.85	          637.10	          509.00	          407.80	          529.70	          518.80	          505.30
YDL227C	          303.35	            NULL	            0.00	           57.30	          157.80	          120.10	          271.60
YDL228C	          119.85	           87.40	          120.40	           51.80	          138.40	           64.90	           87.70
YDL229W	        18641.65	         6438.90	         5637.40	         5978.70	         7174.80	         8310.50	         7782.60
YDL230W	          201.30	          176.30	          174.30	          104.10	          203.10	          114.20	          159.00
YDL231C	          118.70	           66.80	            NULL	           67.10	           99.60	           66.80	          110.90
YDL232W	         1430.35	         1901.60	         1815.40	         1674.80	         1684.10	         1551.00	         1819.20
YDL233W	            NULL	          273.40	          136.50	          115.00	            NULL	          159.60	          167.20
YDL234C	           81.50	          535.80	          185.10	          195.50	          264.60	          321.40	          256.70
YDL235C	          328.10	          451.10	          317.40	          282.60	          300.10	          355.00	          424.10
YDL236W	          369.15	          672.20	          541.40	          406.70	          403.60	          459.60	          440.60
YDL237W	          337.85	          707.30	          490.10	          499.20	          452.10	          378.70	          497.00
