ORF	       Alkali 0m	      Alkali 10m	      Alkali 20m	      Alkali 40m	      Alkali 60m	      Alkali 80m	     Alkali 100m
YNL028W	            NULL	            NULL	            NULL	            1.00	           13.40	           13.10	            NULL
YNL029C	          157.20	            NULL	          248.60	           45.90	           89.50	           79.40	           72.10
YNL030W	         6516.95	         8176.60	         4698.90	         3232.60	         5249.10	         7157.90	         7046.10
YNL031C	        10340.55	        14662.30	         9591.70	         6292.00	         9288.20	        11282.10	        11847.90
YNL032W	          506.25	          671.30	          465.90	          298.60	          278.70	          373.60	          362.80
YNL033W	            NULL	           29.50	            NULL	            NULL	            NULL	            NULL	            NULL
YNL034W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YNL035C	          115.60	          119.40	          161.70	           35.00	           74.60	           81.40	          128.70
YNL036W	          418.60	         4166.30	         3081.20	         1266.70	         1045.00	         1199.10	         1890.50
YNL037C	          577.45	         1017.90	         2016.50	         1865.50	         1284.30	         1513.40	         1512.20
YNL038W	          234.65	          256.90	          138.00	          210.30	          137.70	          177.80	          166.40
YNL039W	          278.40	          181.70	          191.40	          166.10	          202.60	          209.00	          209.70
YNL040W	          208.90	          264.20	          262.50	          453.60	          258.30	          201.90	          297.30
YNL041C	           98.40	          187.20	          110.40	           90.10	          145.10	           82.40	          129.80
YNL042W	           77.80	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YNL043C	           82.10	            NULL	            NULL	           66.20	           85.80	          121.60	           56.60
YNL044W	         1143.70	         2543.50	         1947.40	         1649.00	         1866.90	         2629.00	         2753.60
YNL045W	          252.25	          537.40	          248.60	          256.60	          230.50	          289.30	          362.80
YNL046W	          768.05	          970.20	          363.20	          390.60	          429.00	          582.50	          623.50
YNL047C	          219.65	          170.70	           98.50	          147.30	          141.40	          150.70	          159.70
YNL048W	          309.05	          207.40	          177.50	          149.40	          150.70	          177.80	          239.60
YNL049C	          131.80	            NULL	          167.70	          132.10	          111.70	          149.70	          135.30
YNL050C	          430.15	          234.90	          262.50	          223.30	          234.20	          310.40	          257.40
YNL051W	          115.65	          238.50	          106.40	          126.30	          115.40	          156.70	          127.60
YNL052W	          679.90	          574.10	          329.60	          357.30	          378.90	          479.10	          422.70
YNL053W	          121.30	            NULL	            NULL	            NULL	            NULL	           65.40	          113.10
YNL054W	           93.00	           75.40	           82.70	           48.10	           65.30	           47.30	           63.20
YNL055C	         3548.85	         7378.90	         7077.10	         5914.00	         5217.60	         4691.60	         5654.90
YNL056W	          503.50	          709.80	          602.20	          287.70	          427.10	          457.00	          585.80
YNL057W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YNL058C	          328.90	          200.00	          337.50	          336.30	          323.20	          526.30	          550.30
YNL059C	          123.00	          247.70	           92.60	           88.60	           61.60	          106.50	          102.00
YNL061W	          736.25	          291.70	          420.50	          481.80	          534.70	          568.50	          590.20
YNL062C	          583.15	          212.90	          238.80	          287.70	          291.70	          384.70	          413.80
YNL063W	          115.85	            NULL	            NULL	            NULL	            NULL	           62.30	           68.80
YNL064C	         4872.50	         1492.80	         2352.30	         3141.40	         2807.50	         2469.40	         2759.20
YNL065W	          545.30	          818.00	          746.40	          976.40	          664.60	         1134.80	         1161.60
YNL066W	         1430.40	          671.30	          813.60	          394.90	          443.80	          474.10	          667.90
YNL067W	         2086.00	         2422.50	         2498.50	         2521.60	         2163.70	         2563.80	         3099.80
YNL068C	          102.40	            NULL	            NULL	            NULL	            NULL	            NULL	           53.20
YNL069C	         9769.30	         5728.60	         5684.60	         5267.40	         4727.80	         5368.50	         6866.40
YNL070W	         1044.05	         2165.80	         1690.60	         1020.50	         1224.90	         1271.40	         1270.30
YNL071W	          876.05	          981.20	         1011.10	          946.70	          672.00	          662.80	          809.90
YNL072W	          172.80	            NULL	            NULL	           53.90	          109.90	          106.50	          170.80
YNL073W	          129.90	          174.40	           80.70	            NULL	           76.50	          107.50	            NULL
YNL074C	           60.40	            NULL	           47.20	            NULL	            NULL	            NULL	            NULL
YNL075W	          767.85	          233.00	          250.60	          512.90	          421.60	          506.20	          525.90
YNL076W	           93.35	           66.20	            NULL	           51.70	           52.40	           54.30	           81.00
YNL077W	           94.10	           69.90	           88.60	          104.50	           80.20	           49.30	           62.10
YNL078W	          425.40	          412.70	          377.00	          317.40	          284.30	          343.50	          291.80
YNL079C	         1500.25	         2059.40	         1992.80	         2305.10	         2074.70	         2121.90	         2723.70
YNL080C	          157.00	          209.20	          145.90	          135.00	          124.70	          156.70	          163.10
YNL081C	          285.20	          555.80	          384.90	          320.30	          247.20	          337.50	          297.30
YNL082W	          101.65	          104.70	           49.10	           77.80	           46.80	           77.40	           87.60
YNL083W	           61.25	            NULL	           86.70	           69.10	           57.90	           74.40	           85.40
YNL084C	          487.90	          992.20	          645.70	          482.50	          423.40	          524.30	          470.40
YNL085W	          580.15	          552.10	          481.70	          631.00	          469.80	          543.30	          632.40
YNL086W	          233.30	          511.80	          410.60	          304.40	          267.60	          317.40	          260.70
YNL087W	          531.55	          313.70	          217.00	          199.40	          213.80	          318.40	          373.90
YNL088W	          408.25	          416.40	          333.60	          491.20	          518.00	          572.50	          574.70
YNL089C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YNL090W	          376.60	          473.30	          300.00	          271.80	          288.00	          401.80	          440.40
YNL091W	          230.60	          295.40	          195.30	          181.30	          173.00	          153.70	          210.80
YNL092W	           35.70	            NULL	            NULL	            NULL	           96.90	            NULL	            NULL
YNL093W	            NULL	          229.40	            NULL	          108.20	           63.50	           60.30	           51.00
YNL094W	          184.45	          245.90	          288.10	          250.80	          185.90	          247.10	          310.60
YNL095C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YNL096C	         3863.90	         2699.40	         2360.20	         1598.40	         1108.00	         1859.80	         2485.20
YNL097C	          362.25	          150.50	          171.60	          158.10	          119.10	          158.70	          190.80
YNL098C	         1280.25	         1465.30	          991.30	          702.60	          501.30	          475.10	          743.30
YNL099C	         1259.00	         1171.90	          991.30	          954.60	         1024.50	         1245.30	         1472.20
YNL100W	          586.70	          796.00	          335.50	          345.70	          377.00	          379.70	          375.00
YNL101W	          136.15	          183.50	          149.90	          137.10	          161.80	          130.60	          139.80
YNL102W	          209.65	           69.90	          124.20	          110.30	          184.10	          188.90	          184.10
YNL103W	          196.50	          192.70	          110.40	           47.30	          135.80	          189.90	          227.40
YNL104C	         2019.50	         4692.60	         4139.90	         2458.60	         2703.60	         2590.90	         2671.50
YNL105W	            NULL	            NULL	            NULL	            NULL	            NULL	            0.00	            NULL
YNL106C	           80.00	            NULL	            NULL	            NULL	           78.30	           27.20	           19.90
YNL107W	          163.60	            NULL	          136.00	          175.50	          117.30	          176.80	          128.70
YNL108C	          352.40	          407.20	          418.50	          429.70	          390.00	          340.50	          388.30
YNL109W	           29.80	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YNL110C	         1186.30	          555.80	          543.00	          738.10	          757.40	          957.10	          706.70
YNL111C	          491.95	          139.50	          228.90	          146.50	          189.70	          294.30	          310.60
YNL112W	         3951.55	         1067.40	          452.10	          762.70	          783.40	         2302.70	         1375.70
YNL113W	         1305.00	          568.60	          689.10	          751.90	          814.90	         1119.80	         1025.10
YNL114C	          296.20	          352.20	          339.50	          311.60	          364.10	          314.40	          347.20
YNL115C	          115.80	          211.00	          213.10	          168.30	          173.00	          257.20	          296.20
YNL116W	           31.00	          101.00	          155.80	           90.80	          174.80	          122.60	          120.90
YNL117W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YNL118C	          237.35	          330.20	          357.30	          279.10	          291.70	          418.80	          297.30
YNL119W	          207.10	            NULL	            NULL	            NULL	            NULL	           65.40	           59.90
YNL120C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YNL121C	          377.30	          423.80	          556.80	          651.20	          438.30	          384.70	          403.80
YNL122C	          261.40	          337.60	          195.30	          194.30	            NULL	          148.70	          113.10
YNL123W	          468.15	          302.70	          321.70	          339.20	          325.10	          460.00	          379.40
YNL124W	          461.40	          190.90	          193.30	          262.40	          167.40	          321.40	          286.20
YNL125C	          323.35	          293.60	          234.80	          232.70	          301.00	          311.40	          245.20
YNL126W	           56.70	           44.20	           47.20	            NULL	            NULL	           49.30	           17.70
YNL127W	           59.70	           64.30	           45.20	           19.10	            NULL	           25.20	            NULL
YNL128W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YNL129W	          271.30	          330.20	          400.70	          253.00	          317.70	          217.00	          239.60
YNL130C	          800.25	          785.00	          708.90	          562.20	          505.10	          707.00	          864.20
YNL131W	         1040.40	         1459.80	         1198.70	         1371.70	         1219.40	          972.10	          862.00
YNL132W	          476.85	            NULL	          193.30	          250.80	          230.50	          261.20	          268.50
YNL133C	           70.20	          145.00	            NULL	           70.50	           93.20	           89.50	           87.60
YNL134C	         1382.20	         1879.70	         1546.40	         1050.90	          813.00	          679.90	          743.30
YNL135C	         7062.55	         8271.90	         6757.20	         6895.10	         8661.10	         7518.40	         7766.20
YNL136W	          154.90	          146.90	            NULL	            NULL	          104.30	           97.50	          110.90
YNL137C	          281.80	          324.70	          219.00	          198.00	          174.80	          183.90	          137.50
YNL138W	         1250.35	         1659.70	         2085.60	         2116.10	         1657.20	         1960.30	         2102.40
YNL139C	           58.10	           93.70	           66.90	           64.00	           70.90	           32.20	           47.70
YNL140C	          234.30	            NULL	           78.80	          157.40	            NULL	          189.90	          258.50
YNL141W	          500.90	           68.00	            NULL	          536.80	          377.00	          400.80	          369.40
YNL142W	          114.85	            NULL	          142.00	          140.70	          148.80	          221.00	          188.60
YNL143C	           14.65	            NULL	            NULL	            NULL	            NULL	           17.20	           32.10
YNL144C	          113.80	            NULL	            NULL	            NULL	            NULL	           43.30	            NULL
YNL145W	        12949.55	        10032.30	         9068.20	         5626.50	         8134.10	         7157.90	         6662.30
YNL146W	           63.25	          189.00	           47.20	           58.20	            NULL	           25.20	           28.80
YNL147W	          614.25	         1021.50	          562.70	          424.60	          393.70	          523.30	          426.00
YNL148C	           71.30	            NULL	            NULL	            NULL	            NULL	            NULL	           19.90
YNL149C	          965.55	         1023.40	          602.20	          676.60	          724.00	          865.70	          900.90
YNL150W	          152.50	          176.20	          191.40	          149.40	          117.30	          257.20	          113.10
YNL151C	          858.30	          394.40	          424.40	          517.30	          486.50	          594.60	          509.20
YNL152W	           48.50	            NULL	            NULL	            NULL	            NULL	            NULL	           26.60
YNL153C	         1112.40	          836.30	          712.80	          733.80	          742.50	          897.80	          778.80
YNL154C	          750.25	          807.00	          602.20	          511.50	          584.80	          699.00	          609.10
YNL155W	          180.00	          251.40	          203.20	           62.50	          113.60	           83.40	          110.90
YNL156C	          694.35	         1549.60	         1212.60	          983.60	          794.50	          995.20	         1142.70
YNL157W	          659.25	         1668.80	          910.40	          821.40	         1286.10	         1625.90	         1342.40
YNL158W	          101.75	            NULL	          108.40	           97.30	            NULL	           69.40	          136.40
YNL159C	          107.30	          130.40	           63.00	           41.50	            NULL	           61.30	          133.10
YNL160W	         1092.75	         1175.60	          963.70	          953.90	          755.50	          651.80	          775.50
YNL161W	          233.20	          145.00	           88.60	           61.80	           80.20	          124.60	          191.90
YNL162W	         9017.05	         6746.30	         5951.20	         4195.70	         5703.70	         5726.00	         6255.10
YNL163C	          384.25	          212.90	           88.60	          123.40	          182.20	          213.00	          177.50
YNL164C	          222.55	          143.20	          100.50	          101.60	           70.90	          110.50	          130.90
YNL165W	          133.20	          170.70	            NULL	          133.50	          163.70	          129.60	          112.00
YNL166C	          265.80	          130.40	          207.20	          189.30	          174.80	          277.20	          368.30
YNL167C	          127.10	          432.90	          272.30	          213.90	          228.60	          165.80	          125.30
