ORF	         NaCl 0m	        NaCl 15m	        NaCl 30m	        NaCl 45m	        NaCl 60m	       NaCl 120m
YJL177W	        23409.00	        14479.50	         7515.80	         5686.50	        18923.40	        15571.70
YJL178C	          897.00	         1068.90	          783.10	          714.40	         1273.80	          726.30
YJL179W	          242.00	          235.90	          227.80	          244.00	          362.20	          166.00
YJL180C	          267.00	           76.40	          271.50	          278.70	            NULL	            NULL
YJL181W	          414.00	          114.70	          396.50	          368.90	          477.50	          393.50
YJL182C	            NULL	            NULL	           43.70	            NULL	            NULL	            NULL
YJL183W	         1210.00	          634.30	          674.20	          657.90	          600.40	          567.30
YJL184W	         1060.00	          496.10	          424.90	          580.70	         1510.50	          278.50
YJL185C	           83.00	           59.40	          187.90	          103.80	          166.60	            NULL
YJL186W	          203.00	          140.90	          172.50	          141.90	            NULL	            NULL
YJL187C	          251.00	          348.60	          483.20	          274.40	            NULL	            NULL
YJL188C	          519.00	          277.70	          380.40	          555.80	          359.20	            NULL
YJL189W	        14368.00	        12376.10	        13648.50	        11361.50	        17045.60	        14411.80
YJL190C	        24901.00	        16809.00	        20769.30	        23058.00	        36280.20	        45998.90
YJL191W	         5411.00	         4261.90	         1794.10	         1222.80	         1754.70	         1005.30
YJL192C	          453.00	          649.20	          319.80	          390.60	          608.00	          278.50
YJL193W	          492.00	          194.10	          307.50	          255.90	          380.40	          178.20
YJL194W	          163.00	          114.00	            NULL	            NULL	            NULL	            NULL
YJL195C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YJL196C	         1992.00	         1638.90	         3594.50	         1745.30	         1777.40	         1550.90
YJL197W	          243.00	           77.80	            NULL	            NULL	          196.90	            NULL
YJL198W	         2549.00	         1007.90	         1228.80	          795.80	         1381.50	          422.90
YJL199C	          292.00	          256.50	          549.20	          530.80	          709.60	          217.30
YJL200C	          407.00	          170.70	            NULL	           48.40	          680.80	          195.30
YJL201W	          419.00	          182.00	          595.20	          433.00	            NULL	            NULL
YJL202C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YJL203W	          231.00	           73.60	           94.30	            NULL	          186.30	            NULL
YJL204C	          157.00	           60.80	            NULL	          198.40	          225.70	            NULL
YJL206C	            NULL	            NULL	            NULL	          153.80	            NULL	            NULL
YJL207C	          215.00	           71.50	          194.00	          165.80	          310.70	            NULL
YJL208C	          621.00	            NULL	            NULL	            NULL	            NULL	            NULL
YJL209W	          330.00	            NULL	            NULL	          341.70	          410.80	          263.80
YJL210W	         1225.00	          508.90	          757.00	          912.10	          683.80	            NULL
