ORF	         NaCl 0m	        NaCl 15m	        NaCl 30m	        NaCl 45m	        NaCl 60m	       NaCl 120m
YCL069W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YCL073C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YCL074W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YCL075W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YCL076W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YCR001W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YCR002C	         1773.00	         1523.30	         2035.00	         2091.80	         1663.70	          993.00
YCR003W	          275.00	          594.60	          782.40	          414.50	          506.30	          337.20
YCR004C	         2215.00	         1151.10	         2031.90	         2024.50	         1882.10	          677.40
YCR005C	          846.00	          992.30	         2333.40	         1562.80	         1235.90	          342.10
YCR006C	           44.00	            NULL	            NULL	            NULL	            NULL	            NULL
YCR007C	            NULL	            NULL	           59.80	            NULL	            NULL	            NULL
YCR008W	          915.00	          520.90	         1310.90	          675.30	            NULL	            NULL
YCR009C	          988.00	         1071.00	         1402.90	          767.60	         1055.40	            NULL
YCR010C	            NULL	            NULL	          233.10	          151.60	            NULL	            NULL
YCR011C	          893.00	         1224.20	         1670.60	         1240.10	         1434.60	          608.90
YCR012W	        18260.00	        12665.40	        15338.40	        20177.10	        22622.90	        34613.50
YCR013C	          434.00	          383.40	          700.30	          656.80	          137.70	          366.60
YCR014C	           48.00	            NULL	          159.50	            NULL	            NULL	          212.50
YCR015C	            NULL	           53.70	           44.40	            NULL	           87.70	          271.20
YCR016W	          271.00	          104.80	           85.90	            NULL	            NULL	            NULL
YCR017C	          693.00	          401.10	          931.20	          961.00	          683.80	          887.80
YCR018C	          469.00	          518.10	          899.00	          485.10	          479.00	          523.20
YCR018C-A	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YCR019W	          150.00	          104.10	          375.00	          408.00	          378.90	            NULL
YCR020C	            NULL	            NULL	         1043.90	          939.20	          350.10	            NULL
YCR020C-A	          457.00	          839.20	         1078.50	          962.00	          879.50	          939.20
YCR020W-B	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YCR021C	          132.00	          469.20	         1433.60	         1424.80	          544.30	          459.60
YCR022C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YCR023C	          780.00	          746.30	         1547.10	         1677.90	          932.60	          853.50
YCR024C	            NULL	            NULL	           80.50	            NULL	            NULL	            NULL
YCR024C-A	         5246.00	         3660.00	         4343.90	         3994.00	         8891.20	         5696.00
YCR025C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YCR026C	          207.00	           83.50	          244.60	          267.90	          344.00	            NULL
YCR027C	          109.00	           36.00	          131.10	            NULL	            NULL	            NULL
YCR028C	          173.00	          140.20	          131.10	          211.40	            NULL	            NULL
YCR028C-A	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YCR030C	          279.00	          125.30	          588.30	          700.20	          454.80	          303.00
YCR031C	        10715.00	         7018.10	         7617.80	         4115.70	         9039.90	         4971.70
YCR032W	          218.00	          176.40	          214.00	          263.50	            NULL	          214.90
YCR033W	          749.00	          192.00	          339.00	          279.80	          582.20	          388.60
YCR034W	         1749.00	          793.10	          451.00	          250.50	          614.00	          244.30
YCR035C	          276.00	          103.40	          253.10	            NULL	          263.60	            NULL
YCR036W	          365.00	          275.60	          733.30	          452.60	          588.20	            NULL
YCR037C	          817.00	          433.00	          319.80	          494.90	         1214.70	          405.80
YCR038C	            NULL	           60.10	           86.60	           60.40	          280.30	            NULL
YCR039C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YCR040W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YCR041W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YCR042C	          287.00	          143.80	          708.00	          391.70	          518.50	            NULL
YCR043C	           93.00	           87.00	          121.90	            NULL	          116.50	           75.40
YCR044C	         1241.00	          916.50	         1908.40	         2273.20	         1223.80	         2309.50
YCR045C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YCR046C	         1893.00	            NULL	            NULL	            NULL	            NULL	            NULL
YCR047C	          643.00	           96.30	           98.10	           85.40	          178.70	            NULL
YCR048W	         1501.00	           88.50	          214.00	          373.30	          174.20	            NULL
YCR049C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YCR050C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YCR051W	          506.00	            NULL	            NULL	            NULL	            NULL	            NULL
YCR052W	          255.00	          101.90	          363.50	          340.70	          409.30	          310.30
YCR053W	         3691.00	         1255.30	         2029.60	         1407.40	         4798.90	         4570.40
YCR054C	           61.00	            NULL	           75.90	            NULL	            NULL	            NULL
YCR057C	          145.00	            NULL	            NULL	            NULL	            NULL	            NULL
YCR059C	         1194.00	          401.80	          210.10	          253.80	          394.10	          197.80
YCR060W	          547.00	          740.00	          512.40	          521.00	          711.10	          728.80
YCR061W	          198.00	          164.30	          505.40	          965.30	          764.20	          520.80
YCR062W	          123.00	           70.00	          300.60	          440.60	          486.60	            NULL
YCR063W	          119.00	            NULL	            NULL	            NULL	            NULL	            NULL
YCR064C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YCR065W	          433.00	           58.70	          160.30	          190.70	            NULL	          356.80
YCR066W	            NULL	            9.80	           74.40	            NULL	            NULL	            NULL
YCR067C	         1256.00	          513.80	         1170.50	         1172.80	         1301.10	          635.80
YCR068W	            NULL	           86.30	            NULL	            NULL	            NULL	            NULL
YCR069W	          918.00	          403.90	         1190.40	         1207.60	         1235.90	          701.80
YCR071C	          234.00	          110.40	          230.10	          283.10	            NULL	            NULL
YCR072C	         1530.00	            NULL	          162.60	            NULL	          184.80	            NULL
YCR073C	          314.00	            NULL	          141.90	           94.10	            NULL	            NULL
YCR073W-A	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YCR075C	          603.00	          535.10	          938.80	          846.90	          674.70	          464.50
YCR076C	          441.00	          484.00	         1005.60	         1018.50	          630.70	            NULL
YCR077C	          262.00	            NULL	           66.70	            NULL	            NULL	            NULL
YCR079W	          257.00	           99.10	          517.70	          275.50	            NULL	          158.60
YCR081W	          268.00	           51.60	          281.50	          655.70	            NULL	          904.90
YCR082W	          385.00	          284.10	         1234.20	         1442.20	         2180.90	         1521.50
YCR083W	          269.00	          155.80	          593.70	         1129.30	         1248.00	          961.20
YCR084C	          697.00	          172.80	          371.20	          418.90	          290.90	          178.20
YCR085W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YCR086W	          409.00	          289.10	          412.60	          379.80	          416.80	          354.40
YCR087C-A	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YCR087W	          398.00	          218.20	          194.00	          181.00	            NULL	            NULL
YCR088W	         1767.00	          383.40	          361.20	          740.40	          929.50	            NULL
YCR089W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YCR090C	          328.00	          380.50	          422.60	          467.80	          418.40	          359.30
YCR091W	            NULL	            NULL	           49.80	           59.30	            NULL	            NULL
YCR092C	           89.00	            NULL	            NULL	          131.00	            NULL	            NULL
YCR093W	          240.00	            NULL	            NULL	          169.00	            NULL	          246.70
YCR094W	          353.00	            NULL	            NULL	           91.90	          236.30	          244.30
YCR095C	          127.00	           89.90	          307.50	          297.20	          248.50	            NULL
YCR096C	         1041.00	         1339.00	         2486.80	         2734.90	         1342.10	          949.00
YCR097W	         1762.00	         2145.00	         4113.80	         5023.80	         6226.20	         5108.70
YCR098C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YCR099C	            NULL	            NULL	            NULL	          107.10	            NULL	            NULL
YCR100C	           92.00	           48.80	          116.50	          232.00	            NULL	          136.60
YCR101C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YCR102C	          218.00	          213.90	            NULL	            NULL	            NULL	            NULL
YCR102W-A	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YCR103C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YCR104W	          336.00	          155.10	          463.30	          279.80	          297.00	            NULL
YCR105W	            NULL	           78.50	          113.50	            NULL	            NULL	          227.10
YCR106W	            NULL	           22.50	            NULL	            NULL	            NULL	            NULL
YCR107W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDL001W	          101.00	           60.80	            NULL	            NULL	            NULL	            NULL
YDL002C	          389.00	            NULL	          993.30	          617.70	          369.80	          371.50
YDL003W	          256.00	            NULL	          199.40	            NULL	            NULL	            NULL
YDL004W	         1896.00	         1892.00	         2974.70	         3043.50	         2390.20	         3156.10
YDL005C	          162.00	           74.30	          470.20	          161.40	          421.40	          158.60
YDL006W	          134.00	            NULL	          287.60	          299.40	          107.40	          126.80
YDL007W	         1215.00	          713.70	         1165.90	         2034.30	         1721.30	          640.70
YDL008W	          476.00	          649.20	          447.90	          466.70	          571.60	          655.30
YDL009C	          493.00	          677.60	         1025.50	          975.10	          576.10	          741.00
YDL010W	          299.00	          285.50	          827.60	          581.80	          570.00	          334.80
YDL011C	            NULL	            NULL	          188.60	          203.80	            NULL	            NULL
YDL012C	         2544.00	         1906.10	         2931.70	         2793.60	         2450.90	         2094.10
YDL013W	          348.00	          318.20	          969.50	          766.50	          377.40	            NULL
YDL014W	         2937.00	         1754.40	          757.80	          599.20	         1701.60	          860.90
YDL015C	         1501.00	         1655.20	         2955.50	         3533.40	         2793.70	         1878.80
YDL016C	            NULL	            NULL	           74.40	            NULL	            NULL	            NULL
YDL017W	          101.00	            NULL	          317.50	          210.30	            NULL	           85.20
YDL018C	          121.00	          182.00	          336.70	          353.70	          345.60	          498.70
YDL019C	          474.00	          332.30	         1521.80	         1529.10	          834.00	          912.30
YDL020C	          520.00	          902.30	         3927.40	         2871.80	         1691.00	         1746.70
YDL021W	            NULL	           66.50	          237.00	          223.30	          371.30	          476.70
YDL022W	         1886.00	         6741.00	        16810.40	        21644.70	        15345.20	        10692.50
YDL023C	           62.00	          268.50	          889.00	         1281.40	          471.40	          303.00
YDL024C	          143.00	          175.00	         1949.90	         1500.90	          275.80	          290.80
YDL025C	            NULL	          128.90	         2091.00	         1895.20	         1014.50	         1186.30
YDL026W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDL027C	           50.00	           43.80	          194.80	          146.20	          369.80	            NULL
YDL028C	           86.00	            NULL	          114.20	            NULL	          178.70	            NULL
YDL029W	         1201.00	          711.60	         1168.20	          928.40	         1122.20	          246.70
YDL030W	          226.00	            NULL	          177.10	            NULL	           77.10	            NULL
YDL031W	         1165.00	            NULL	          411.10	          164.70	          377.40	            NULL
YDL032W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDL033C	          465.00	          109.00	            NULL	          252.70	          225.70	            NULL
YDL034W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDL035C	          251.00	           97.00	          456.40	          557.90	          673.20	          459.60
YDL036C	          230.00	            NULL	            NULL	            NULL	            NULL	          283.40
YDL037C	          369.00	            NULL	            NULL	            NULL	            NULL	            NULL
YDL038C	          291.00	            NULL	            NULL	            NULL	            NULL	            NULL
YDL039C	          831.00	            4.80	            NULL	          170.10	          243.90	          202.70
YDL040C	          701.00	          334.50	          428.70	          585.10	          676.20	          400.90
YDL041W	            NULL	            NULL	           59.80	            NULL	            NULL	            NULL
YDL042C	          517.00	          187.70	          132.60	          201.60	            NULL	          334.80
YDL043C	           41.00	           60.80	          141.10	            NULL	            NULL	            NULL
YDL044C	          134.00	           92.70	          404.20	          313.50	          318.20	          205.10
YDL045C	          114.00	          113.30	          301.40	          287.40	          345.60	          192.90
YDL045W-A	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDL046W	         1683.00	         1782.10	         2924.00	         3231.40	         2370.50	         1827.40
YDL047W	          222.00	          145.90	          270.70	          209.20	            NULL	            NULL
YDL048C	          234.00	           89.90	          292.20	          358.00	          721.70	          528.10
YDL049C	            NULL	           50.90	            NULL	          151.60	            NULL	            NULL
YDL050C	          770.00	          557.10	          195.50	            NULL	            NULL	          285.90
YDL051W	          771.00	          754.80	          500.80	          252.70	          594.30	          481.60
YDL052C	          886.00	          335.90	          503.90	          546.00	          650.40	          447.40
YDL053C	          445.00	          342.30	          893.60	          969.60	          793.00	          581.90
YDL054C	          149.00	            NULL	          400.40	          427.60	          363.80	          325.00
YDL055C	        12818.00	         7150.70	         6346.70	         3193.40	        10813.00	         9471.50
YDL056W	          183.00	            NULL	          353.60	          610.10	          702.00	          853.50
YDL057W	          145.00	          126.00	            NULL	          683.90	            NULL	          547.70
YDL058W	          162.00	          119.70	            NULL	          252.70	            NULL	          285.90
YDL059C	           69.00	            NULL	          268.40	          351.50	            NULL	            NULL
YDL060W	         1976.00	          711.60	          420.30	          361.30	          881.00	            NULL
YDL061C	        11266.00	         8001.40	         7795.00	         2962.00	         9930.20	         1201.00
YDL062W	            NULL	            0.00	            NULL	            NULL	            NULL	            NULL
YDL063C	          380.00	            NULL	            NULL	            NULL	            NULL	            NULL
YDL064W	          869.00	          250.10	          281.50	          309.20	          529.10	          288.30
YDL065C	          221.00	          297.60	          396.50	          165.80	          259.10	          173.30
YDL066W	         1227.00	         1107.90	         1024.00	          632.90	          975.00	          515.90
YDL067C	          905.00	          514.50	          670.40	          862.10	         1210.10	         1007.70
YDL068W	            NULL	           53.00	           42.90	            NULL	            NULL	            NULL
YDL069C	          106.00	            NULL	          444.80	          304.80	          280.30	          288.30
YDL070W	         4500.00	         3254.50	         2454.60	         1505.20	         1330.00	         1729.50
YDL071C	          121.00	           96.30	            NULL	            NULL	          143.80	            NULL
YDL072C	         3869.00	         4383.80	         8739.30	        12000.20	         8947.40	         5874.60
YDL073W	          189.00	           61.50	          292.20	            NULL	          181.70	          139.00
YDL074C	          209.00	          154.40	          261.50	          185.30	          207.50	          185.50
YDL075W	        21543.00	        15669.10	        15807.10	        12472.80	        19768.30	        13482.00
YDL076C	          177.00	          195.50	          648.90	          385.20	          518.50	          320.10
YDL077C	          141.00	          104.80	          286.10	          334.10	          315.20	          185.50
YDL078C	         1032.00	         1231.90	         1084.60	         1714.90	         2009.50	         1516.70
YDL079C	            NULL	           89.90	          306.00	          189.70	            NULL	            NULL
YDL080C	          208.00	          108.30	          216.30	          172.30	          354.70	          200.20
YDL081C	        12153.00	         8684.80	        10538.80	         9648.30	        14526.20	        21272.90
YDL082W	        12079.00	         7211.70	         3672.70	         3368.30	         8669.80	         6373.80
YDL083C	         5822.00	         3640.90	         3889.00	         2532.90	         7046.80	         4939.90
YDL084W	         2869.00	         2281.10	         3823.10	         3044.50	         3518.70	         2757.20
YDL085W	            NULL	            NULL	           38.30	          307.00	            NULL	            NULL
YDL086W	         1189.00	          676.90	         1329.30	         1387.90	          923.50	          643.10
YDL087C	          109.00	            NULL	          115.00	          126.70	            NULL	            NULL
YDL088C	          497.00	          265.00	          802.30	          956.60	          371.30	          584.40
YDL089W	          525.00	          381.20	         1703.60	         2173.30	          837.00	         1788.30
YDL090C	          710.00	          362.10	          792.30	          710.00	            NULL	          415.50
YDL091C	          289.00	          236.60	         1097.60	          804.50	          812.70	            NULL
YDL092W	          983.00	          772.60	         1455.10	          824.10	          774.80	            NULL
YDL093W	          257.00	          151.60	          170.20	           97.30	          145.30	            NULL
YDL094C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDL095W	         1860.00	         2169.80	         1412.10	          634.00	         1201.00	          471.80
YDL096C	           89.00	            NULL	          134.90	            NULL	            NULL	            NULL
YDL097C	         1499.00	          991.60	         2436.90	         2169.00	         2332.60	          670.00
YDL098C	          216.00	          143.80	          360.50	            NULL	          184.80	            NULL
YDL099W	          552.00	          634.30	         1047.00	          868.60	         1031.10	          520.80
YDL100C	         1394.00	         1278.70	         1401.40	          836.00	         1674.30	          971.00
YDL101C	          241.00	          175.00	          496.20	            NULL	          394.10	            NULL
YDL102W	            NULL	           58.70	            NULL	            NULL	            NULL	            NULL
YDL103C	          354.00	          314.60	          351.30	          433.00	          430.50	          430.20
YDL104C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDL105W	          186.00	            NULL	          102.70	            NULL	            NULL	            NULL
YDL106C	            NULL	            NULL	          212.40	           87.50	            NULL	            NULL
YDL107W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDL108W	          133.00	          106.90	          289.90	          326.50	          142.30	            NULL
YDL109C	          155.00	           25.40	          312.90	          255.90	            NULL	          146.40
YDL110C	          281.00	          871.80	         9557.00	         9041.10	         2713.30	         1533.80
YDL111C	          727.00	          346.50	          833.00	          469.90	          682.30	          545.20
YDL112W	          495.00	          265.00	          274.60	            NULL	          369.80	          393.50
YDL113C	           46.00	            NULL	          264.60	          219.00	            NULL	            NULL
YDL114W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDL115C	            NULL	            NULL	          408.00	          571.00	            NULL	            NULL
YDL116W	          783.00	          402.50	         1585.50	         1292.30	         1308.70	          728.80
YDL117W	          447.00	          223.90	          490.10	          552.50	          513.90	          396.00
YDL118W	            NULL	            NULL	           92.80	            NULL	            NULL	            NULL
YDL119C	          275.00	          216.80	          760.90	          794.70	          492.70	          344.60
YDL120W	          300.00	          140.90	          379.60	          420.00	          372.90	          545.20
YDL121C	          588.00	          589.00	          473.20	            NULL	          680.80	         1117.80
YDL122W	         1317.00	          767.60	         2286.60	         2321.00	         1512.00	         2309.50
YDL123W	          421.00	            NULL	          529.20	          441.70	          266.70	            NULL
YDL124W	         2551.00	         1984.10	         6543.90	         4285.10	         5075.00	          856.00
YDL125C	         7940.00	        10412.40	        13113.10	        10340.30	         8976.20	         2654.50
YDL126C	         5392.00	         4207.30	         5404.00	         4431.80	         5473.90	         1406.50
YDL127W	          704.00	            NULL	          159.50	          103.80	          322.80	            NULL
YDL128W	         2531.00	         2371.90	         4459.00	         3210.70	         3426.20	         1276.90
YDL129W	          193.00	          338.70	          362.00	            NULL	            NULL	            NULL
YDL130W	        16178.00	        13187.90	        12607.60	         8482.70	        13681.30	         8879.40
YDL130W-A	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDL131W	         1084.00	          521.60	          654.30	          537.30	         1513.50	          738.50
YDL132W	          621.00	          748.50	         1661.40	         1959.30	         1299.60	          843.80
YDL133W	          463.00	          610.90	         1565.50	         1424.80	         1028.10	          956.30
YDL134C	          388.00	          446.50	         1114.50	          930.50	          533.60	          403.30
YDL135C	          784.00	          910.10	          979.50	          802.40	         1223.80	          738.50
YDL136W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDL137W	         9185.00	         8341.00	        11008.30	        13933.90	        14033.20	         9574.30
YDL138W	          144.00	           75.70	          179.40	          188.60	            NULL	          195.30
YDL139C	           68.00	           94.10	          156.40	          109.30	            NULL	            NULL
YDL140C	         8748.00	         3537.40	         6191.00	         7984.10	         6408.20	         6657.60
YDL141W	          143.00	            NULL	            NULL	           86.50	            NULL	            NULL
YDL142C	          221.00	          244.40	          862.90	         1005.50	          782.40	          418.00
YDL143W	          956.00	          565.60	          801.50	          899.00	         1780.40	          821.70
YDL144C	          766.00	          358.60	          496.20	          650.30	          483.60	            NULL
YDL145C	         1902.00	         1267.40	         1406.80	         1683.40	         1712.20	         1514.20
YDL146W	            NULL	           75.70	          360.50	          579.70	          359.20	          337.20
YDL147W	         1058.00	         1004.40	         2273.60	         3305.30	         2564.60	         1617.00
YDL148C	          252.00	          197.60	          342.80	           36.50	          292.50	          295.70
YDL149W	            NULL	           53.00	            NULL	            NULL	          334.90	            NULL
YDL150W	          232.00	           93.40	           97.40	           73.40	            NULL	          151.30
YDL151C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDL152W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDL153C	          692.00	          453.60	          398.10	          126.70	          269.70	          667.60
YDL154W	            NULL	            NULL	            NULL	          142.90	            NULL	            NULL
YDL155W	          496.00	          131.00	          322.10	          365.60	          295.50	          173.30
YDL156W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDL157C	         1529.00	         1179.50	         1144.40	          791.50	         1386.10	          139.00
YDL158C	          395.00	          277.70	          325.20	          158.20	          322.80	            NULL
YDL159W	          126.00	            NULL	          270.70	           96.20	            NULL	            NULL
YDL160C	         1153.00	         1125.60	         2196.10	         1986.50	         1354.20	          721.40
YDL161W	          788.00	          715.10	         1395.30	         1335.70	         1260.20	          630.90
YDL162C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDL163W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDL164C	          738.00	          306.80	          496.20	          529.70	            NULL	            NULL
YDL165W	         1824.00	         1256.10	         1566.30	         2015.80	         1829.00	          997.90
YDL166C	         1041.00	          522.30	          399.60	          258.10	          600.40	          506.10
YDL167C	          119.00	          130.30	           70.50	            NULL	            NULL	            NULL
YDL168W	          267.00	          156.50	          514.70	          680.70	          304.60	            NULL
YDL169C	           87.00	           60.80	          330.60	          443.90	          218.10	            NULL
YDL170W	          283.00	            NULL	          459.40	          324.40	            NULL	            NULL
YDL171C	         1988.00	         1102.90	          478.60	          565.50	         1181.30	         1954.70
YDL172C	          357.00	            NULL	            NULL	          280.90	          254.50	            NULL
YDL173W	          713.00	           66.50	          851.40	         1126.10	          521.50	            NULL
YDL174C	         1104.00	         1369.50	         2632.60	         3045.60	         1630.30	         1267.10
YDL175C	            NULL	          123.20	          383.50	          392.80	            NULL	            NULL
YDL176W	            NULL	            NULL	           57.50	            NULL	            NULL	            NULL
YDL177C	          243.00	            NULL	          418.00	          497.10	          524.50	          449.80
YDL178W	          315.00	          343.00	          802.30	          690.50	          480.50	          327.50
YDL179W	          379.00	          165.00	          279.20	          220.10	          306.10	            NULL
YDL180W	          448.00	          329.50	         1152.10	         1199.90	         1046.30	          621.10
YDL181W	          135.00	          106.90	          298.30	          393.90	          451.70	          234.50
YDL182W	         9648.00	         5554.20	        11784.50	        11125.80	        22732.10	        14969.70
YDL183C	            NULL	           44.50	          171.00	          134.30	            NULL	            NULL
YDL184C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDL185W	         2635.00	         1915.30	         4515.70	         3866.90	         2975.70	         3339.60
YDL186W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDL187C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDL188C	          723.00	          446.50	          690.30	          513.40	          530.60	            NULL
YDL189W	          416.00	          167.90	          357.40	          163.60	          354.70	            NULL
YDL190C	         1148.00	         1254.60	         1668.30	         1443.30	         1396.70	          273.60
YDL191W	         8903.00	         5623.00	         7077.80	         9237.70	        14843.20	         6841.10
YDL192W	        18997.00	        12227.30	        14511.50	        15864.30	        19640.80	        14898.80
YDL193W	          359.00	          328.80	          706.40	          588.30	          466.90	          285.90
YDL194W	           68.00	            NULL	           29.10	           76.70	            NULL	            NULL
YDL195W	         2526.00	          793.10	         1264.90	         1371.60	         1296.60	         1083.60
YDL196W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDL197C	          564.00	          269.90	          504.70	          754.60	          527.60	          545.20
YDL198C	          880.00	          289.80	          424.90	          429.70	          529.10	          454.70
YDL199C	           46.00	            NULL	          220.90	          368.90	            NULL	            NULL
YDL200C	          497.00	          754.10	         1066.20	         1221.70	         1046.30	          775.20
YDL201W	          974.00	          157.90	          144.20	            NULL	           84.70	            NULL
YDL202W	          259.00	            NULL	          276.90	          236.40	          105.90	            NULL
YDL203C	          248.00	          118.90	          269.20	          204.90	          204.50	            NULL
YDL204W	            NULL	          272.80	         7571.80	        10792.20	        10835.80	         7829.70
YDL205C	          195.00	          109.00	          307.50	          342.80	          212.10	            NULL
YDL206W	            NULL	            NULL	          385.00	          363.50	            NULL	            NULL
YDL207W	          170.00	           97.00	          207.10	          169.00	            NULL	            NULL
YDL208W	         7782.00	         6076.70	         4186.70	         3437.80	         5150.80	         4005.20
YDL209C	          440.00	          462.10	          490.90	          481.90	            NULL	            NULL
YDL210W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDL211C	          119.00	           24.70	          114.20	            NULL	            NULL	          126.80
YDL212W	         2892.00	         2416.60	         4407.60	         4618.60	         3128.90	         2541.90
YDL213C	          509.00	          245.80	          296.00	          142.90	          281.80	          435.10
YDL214C	            NULL	            NULL	         1640.00	         1121.70	            NULL	            NULL
YDL215C	           80.00	           66.50	          641.20	          616.60	          356.20	          205.10
YDL216C	            NULL	            NULL	            NULL	          189.70	            NULL	            NULL
YDL217C	          521.00	          122.50	          506.20	          672.00	          425.90	          511.00
YDL218W	            NULL	            NULL	          340.50	          384.10	          240.90	            NULL
YDL219W	          615.00	          578.30	         1231.10	          648.10	          841.50	          305.40
YDL220C	          271.00	            0.00	          102.70	          153.80	            NULL	          129.30
YDL221W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDL222C	            NULL	           19.70	         5755.30	         6355.70	         2164.20	          486.50
YDL223C	          308.00	            NULL	         5491.40	        11940.50	        12950.20	         4859.10
YDL224C	            NULL	            NULL	          517.70	            NULL	            NULL	          229.60
YDL225W	          698.00	          334.50	          780.10	          823.00	          661.00	          263.80
YDL226C	          731.00	          336.60	          411.10	          361.30	          480.50	          530.60
YDL227C	         1306.00	          111.10	            NULL	            NULL	            NULL	            NULL
YDL228C	          523.00	          414.60	          302.90	          112.50	          154.40	            NULL
YDL229W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDL230W	          598.00	          448.60	         1346.90	         1211.90	          755.10	          530.60
YDL231C	          214.00	          145.90	          345.10	          182.10	            NULL	            NULL
YDL232W	         7825.00	         4934.60	         7650.80	        10731.40	         9535.90	        15040.70
YDL233W	           44.00	           50.90	          138.80	          257.00	          140.80	            NULL
YDL234C	           51.00	           57.30	          415.70	          389.50	          439.60	          156.20
YDL235C	          364.00	          294.80	          714.90	          656.80	          641.30	          484.10
YDL236W	         1525.00	          830.70	         1227.30	         1314.00	         1290.50	         1240.20
YDL237W	          317.00	          208.30	          316.00	          316.80	          620.10	          476.70
YDL238C	          135.00	            NULL	          151.80	          257.00	          265.20	          241.80
YDL239C	           75.00	            NULL	          291.40	          452.60	          421.40	          185.50
YDL240W	           85.00	            NULL	           47.50	            NULL	            NULL	           99.90
YDL241W	          154.00	           72.20	            NULL	            NULL	            NULL	            NULL
YDL242W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDL243C	            NULL	           70.00	           90.50	            NULL	            NULL	            NULL
YDL244W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDL245C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDL246C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDL247W	            NULL	            NULL	          107.30	          259.20	            NULL	            NULL
YDL248W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDR001C	          344.00	          399.00	         2567.40	         1784.40	         1507.40	          459.60
YDR002W	         7259.00	         7389.60	         9804.00	         5410.60	         6485.60	         4961.90
YDR003W	          217.00	          294.10	          893.60	          492.70	          265.20	            NULL
YDR004W	          382.00	          336.60	          853.70	          635.10	          545.80	            NULL
YDR005C	            NULL	           58.00	          218.60	          199.40	            NULL	            NULL
YDR006C	          175.00	           58.70	          309.80	            NULL	            NULL	            NULL
YDR007W	          855.00	          847.00	         1159.80	          810.00	          709.60	            NULL
YDR008C	          221.00	            NULL	          190.90	            NULL	            NULL	            NULL
YDR009W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDR010C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YDR011W	         2834.00	         1659.40	         2146.20	         2702.30	         2849.80	         3547.60
YDR012W	         6756.00	         3105.60	         2369.40	         1911.50	         3935.80	         2911.40
