ORF	     Sorbitol 0m	    Sorbitol 15m	    Sorbitol 30m	    Sorbitol 45m	    Sorbitol 90m	   Sorbitol 120m
YJL186W	          203.00	          198.80	            NULL	          235.10	          161.60	          319.00
YJL187C	          251.00	          291.20	            NULL	          541.80	          440.90	          369.80
YJL188C	          519.00	          212.70	            NULL	            NULL	            NULL	          247.40
YJL189W	        14368.00	        12253.40	         8029.50	        17139.90	        16331.10	        15328.10
YJL190C	        24901.00	        23450.30	        18490.40	        34569.90	        27237.60	        24674.20
YJL191W	         5411.00	         2945.60	         1251.20	         2162.00	         6801.40	         3966.80
YJL192C	          453.00	          449.00	          195.90	          548.60	          459.50	          585.40
YJL193W	          492.00	          127.70	            NULL	            NULL	            NULL	          240.20
YJL194W	          163.00	            NULL	            NULL	            NULL	            NULL	          192.50
YJL195C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YJL196C	         1992.00	          948.50	         1502.10	          878.30	         1539.60	         2392.20
YJL197W	          243.00	            NULL	            NULL	          304.30	            NULL	          288.90
YJL198W	         2549.00	         1014.10	          692.20	          946.10	         2328.70	         1901.90
YJL199C	          292.00	          314.20	          640.50	          293.50	          244.20	          357.30
YJL200C	          407.00	            NULL	            NULL	            NULL	          248.90	          312.80
YJL201W	          419.00	          350.20	          345.30	            NULL	          366.40	            NULL
YJL202C	            NULL	           70.50	            NULL	            NULL	            NULL	            NULL
YJL203W	          231.00	            NULL	            NULL	            NULL	            NULL	           96.10
YJL204C	          157.00	            NULL	          153.40	            NULL	            NULL	            NULL
YJL206C	            NULL	            NULL	          238.30	            NULL	            NULL	            NULL
YJL207C	          215.00	            NULL	            NULL	            NULL	            NULL	            NULL
YJL208C	          621.00	            NULL	            NULL	            NULL	          350.10	            NULL
YJL209W	          330.00	          366.90	          393.30	          430.50	            NULL	            NULL
YJL210W	         1225.00	          759.30	         1684.70	         1128.00	          688.80	          872.50
YJL211C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YJL212C	         1678.00	          407.50	          771.50	          769.70	          664.30	         1118.20
YJL213W	           96.00	          249.60	          856.40	          355.90	            NULL	          259.90
YJL214W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YJL215C	            NULL	            NULL	            NULL	            NULL	            NULL	           11.10
YJL216C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YJL217W	          878.00	          786.00	          343.50	          374.90	          852.90	         1188.70
YJL218W	          230.00	            NULL	            NULL	          237.80	            NULL	            NULL
YJL219W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YJL220W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YJL221C	           67.00	           81.60	           79.60	            NULL	            NULL	            NULL
YJL222W	          356.00	            NULL	          343.50	          438.60	            NULL	            NULL
YJL223C	          572.00	            NULL	          885.90	            NULL	         1150.80	          387.40
YJL225C	         9284.00	         5499.50	         6970.50	         7948.00	         7307.70	        11028.20
YJR001W	         1643.00	          305.90	          467.10	          406.10	          702.80	          747.10
YJR002W	          789.00	            NULL	            NULL	          361.30	          518.90	          417.50
YJR003C	          367.00	            NULL	            NULL	            NULL	            NULL	           95.10
YJR004C	          209.00	          145.30	          212.50	            NULL	            NULL	          224.60
YJR005W	          114.00	            NULL	            NULL	            NULL	            NULL	          249.50
YJR006W	            NULL	            NULL	            NULL	            NULL	            NULL	          128.20
YJR007W	          802.00	          397.30	            NULL	          971.90	         1006.50	         1078.80
YJR008W	           77.00	          350.20	         1048.20	          486.10	            NULL	            NULL
YJR009C	        20491.00	        23575.00	        17763.50	        32705.40	        24134.70	        21651.40
YJR010C-A	          339.00	            NULL	            NULL	          423.70	            NULL	          190.40
YJR010W	           79.00	          150.80	          234.60	          176.80	          186.00	          147.90
YJR011C	            NULL	            NULL	            NULL	          258.20	            NULL	           87.80
YJR012C	          140.00	          445.30	            NULL	          358.60	          300.10	            NULL
YJR013W	          478.00	          293.00	          505.80	          421.00	          436.20	          565.70
YJR014W	         2097.00	         1276.30	          992.90	         2282.70	         1379.00	         1926.80
YJR015W	         2542.00	         2424.90	         2574.00	         3091.50	         2087.80	         3362.50
YJR016C	         3572.00	         1882.90	         1496.50	         1809.20	         2051.70	         3169.70
YJR017C	         1894.00	         1368.60	         1483.60	         2216.20	         1358.00	         2002.40
YJR018W	          200.00	          339.20	          199.50	            NULL	            NULL	            NULL
YJR019C	          606.00	          938.40	         1411.70	          837.60	          369.90	          561.50
YJR020W	            NULL	            NULL	          219.80	            NULL	            NULL	            NULL
YJR021C	          544.00	          758.30	          876.60	            NULL	          315.20	          345.90
YJR022W	          214.00	          251.50	          343.50	            NULL	            NULL	          175.90
YJR023C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YJR024C	         1954.00	         1129.50	         1134.90	          986.90	         1174.10	         1356.60
YJR025C	         1614.00	         1358.50	         2107.20	         1962.50	         1376.60	         1148.30
YJR026W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YJR027W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YJR028W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YJR029W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YJR030C	          406.00	            NULL	            NULL	          195.80	            NULL	          458.90
YJR031C	          472.00	          150.80	            NULL	            NULL	          572.40	          337.60
YJR032W	          113.00	            NULL	            NULL	            NULL	            NULL	          168.70
YJR033C	          501.00	          171.10	            NULL	          454.90	          394.30	          549.10
YJR034W	          262.00	            NULL	            NULL	            NULL	            NULL	          286.80
YJR035W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YJR036C	          158.00	            NULL	          345.30	            NULL	            NULL	          184.20
YJR037W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YJR038C	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YJR039W	          172.00	            NULL	          162.70	            NULL	            NULL	           93.00
YJR040W	          143.00	            NULL	          254.90	            NULL	            NULL	          189.40
YJR041C	          382.00	          166.50	            NULL	          395.20	          380.40	          370.80
YJR042W	          822.00	            NULL	          461.50	          946.10	          794.70	          950.30
YJR043C	            NULL	            NULL	            NULL	          374.90	            NULL	          406.00
YJR044C	         2045.00	         1359.40	         4169.90	         4633.00	         2801.20	         2662.80
YJR045C	         1138.00	          627.20	          799.20	         2315.30	          587.50	         1128.60
YJR046W	          416.00	          461.00	          585.10	          981.40	          247.70	          437.10
YJR047C	         2433.00	         1774.90	          895.10	         1480.80	         1792.10	         2167.30
YJR048W	          384.00	            NULL	            NULL	            NULL	            NULL	          306.50
YJR049C	          372.00	          293.00	          402.50	          613.70	          369.90	          324.20
YJR050W	          248.00	            NULL	            NULL	          281.20	            NULL	          340.70
YJR051W	          609.00	          264.40	          629.40	          685.60	          328.00	          553.20
YJR052W	          326.00	          165.60	          491.10	          244.60	            NULL	          340.70
YJR053W	           57.00	            NULL	            NULL	            NULL	            NULL	            NULL
YJR054W	          391.00	            NULL	          317.60	          501.10	          233.70	          393.60
YJR055W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YJR056C	          238.00	          127.70	          323.20	          198.50	            NULL	          152.10
YJR057W	          196.00	            NULL	            NULL	            NULL	            NULL	            NULL
YJR058C	          618.00	          365.00	          863.70	          612.30	          417.60	          288.90
YJR059W	          872.00	         3035.20	         4050.00	         1858.00	          804.00	          797.90
YJR060W	          503.00	          128.70	            NULL	            NULL	          346.60	          316.90
YJR061W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YJR062C	           59.00	            NULL	            NULL	            NULL	            NULL	            NULL
YJR063W	         1873.00	          360.40	            NULL	          666.60	         1313.80	         1289.20
YJR064W	         5367.00	         1515.50	         2904.20	         4365.60	         3663.60	         5028.30
YJR065C	         3531.00	         2222.70	         4059.20	         3328.90	         2469.50	         3048.40
YJR066W	          238.00	           89.90	            NULL	            NULL	            NULL	          253.70
YJR067C	          128.00	            NULL	            NULL	            NULL	            NULL	            NULL
YJR068W	          284.00	            NULL	          267.80	          130.60	            NULL	          185.20
YJR069C	          618.00	           93.60	            NULL	            NULL	            NULL	            NULL
YJR070C	         5037.00	          646.60	          251.20	          574.30	         2789.60	         2569.50
YJR071W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YJR072C	         1524.00	            NULL	          179.30	          335.50	            NULL	          324.20
YJR073C	          503.00	          479.50	         1762.20	         3220.40	          972.80	         1387.70
YJR074W	          648.00	          547.80	         1016.90	         2151.10	         1203.20	         1214.60
YJR075W	          170.00	          185.00	            NULL	          300.20	            NULL	          272.30
YJR076C	         1023.00	         1021.50	         1406.10	         1570.30	         1434.80	         1380.50
YJR077C	         5561.00	         3731.40	         3789.80	         8185.40	         6692.00	         6729.40
YJR078W	            NULL	            NULL	            NULL	            NULL	            NULL	            NULL
YJR079W	            NULL	          187.70	            NULL	          241.90	            NULL	            NULL
YJR080C	          339.00	          202.50	            NULL	          891.90	          345.50	          438.20
